Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5	Max. Angle Reached2
1	11.78	[0, 11.13, 11.58, 5.89, 3.92, 2.94, 0.9]	[0, 3, 4, 5, 6, 7, 8]	[0, 24.48, 25.47, 25.91, 25.84, 25.84, 9.94]	10.98
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	11.13	10.62
4	11.58	10.87
5	11.78	10.87
6	11.75	10.93
7	11.75	10.98
8	4.52	10.98
9	0	0
10	0	0
11	0	0
Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5	Max. Angle Reached2
1	12.9	[0, 2.46, 2.46, 1.23, 0.82, 3.23, 2.57, 2.14, 1.83]	[0, 4, 5, 6, 7, 8, 9, 10, 11]	[0, 5.41, 5.41, 5.41, 5.41, 28.37, 28.24, 28.24, 28.24]	11.58
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	2.46	0.81
5	2.46	0.81
6	2.46	11.53
7	2.46	11.53
8	12.9	11.53
9	12.84	11.58
10	12.84	11.58
11	12.84	11.34
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
