Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5	Max. Angle Reached2
1	16.61	[0, -0.06, -0.06, 8.27, 5.51, 4.15, 3.32, 2.77, 2.37]	[0, 3, 4, 5, 6, 7, 8, 9, 10]	[0, -0.13, -0.13, 36.35, 36.35, 36.53, 36.53, 36.53, 36.53]	16.34
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	-0.06	16.22
4	-0.06	16.34
5	16.53	16.34
6	16.53	16.34
7	16.61	16.34
8	16.61	16.34
9	16.61	16.34
10	16.61	9.07
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5	Max. Angle Reached2
1	16.06	[0, 14.93, 15.66, 7.95, 5.34, 4.01, 3.21, 2.67]	[0, 3, 4, 5, 6, 7, 8, 9]	[0, 32.83, 34.44, 34.94, 35.25, 35.32, 35.32, 35.25]	15.62
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	14.93	15.26
4	15.66	15.26
5	15.89	15.26
6	16.03	15.26
7	16.06	15.26
8	16.06	15.26
9	16.03	15.62
10	0	0
11	0	0
12	0	0
