Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	12.79	23.36
10	13.96	21.77
11	14.15	21.77
12	14.15	21.77
13	14.12	23.23
14	14.15	23.13
15	14.06	23.13
16	2.1	23.13
17	1.0	17.05
18	0.41	17.05
19	0.0	17.05
20	0.0	2.53
21	0.0	4.53
22	-0.07	12.32
23	-0.07	17.87
24	-0.14	13.93
25	-0.28	13.93
26	0.21	8.86
27	0.21	5.89
28	-0.35	5.89
29	-0.43	5.89
30	-0.14	2.31
31	-0.14	2.31
32	-0.07	1.56
33	-0.07	1.26
Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0.85	11.4
10	0.85	21.31
11	13.72	21.06
12	13.91	21.94
13	13.91	21.94
14	13.94	21.77
15	13.94	21.77
16	13.94	20.95
17	8.49	13.29
18	0.79	7.41
19	0.13	7.41
20	0.27	7.41
21	0.2	7.41
22	0.2	7.41
23	0.2	2.73
24	0.2	2.73
25	0.13	2.73
26	0.2	2.73
