Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	19.32	[0, 18.03, 18.9, 9.58, 6.43, 4.83, 3.86, 3.22]	[0, 10, 11, 12, 13, 14, 15, 16]	[0, 39.65, 41.56, 42.14, 42.44, 42.49, 42.49, 42.49]	23.94
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	18.03	3.95
11	18.9	23.69
12	19.16	23.69
13	19.3	23.69
14	19.32	23.59
15	19.32	23.94
16	19.32	23.88
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
