Repetition	Total Repetitions	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=5.8
1	8.09	[0, 0.0, 1.38, 3.96, 0.0, 0.0, 2.75]	[0, 3, 4, 5, 6, 7, 8]	[0, 0.0, 3.03, 11.74, 11.74, 11.74, 17.79]
2	3.14	[0, 0.0, 3.14, -0.04]	[0, 12, 13, 14]	[0, 0.0, 6.91, 6.82]
3	2.35	[0, 0.0, 1.71, 0.64]	[0, 17, 18, 19]	[0, 0.0, 3.76, 5.17]
X(Time)	Y(Angle)
0	0
1	0
2	0
3	0
4	1.38
5	5.34
6	5.34
7	5.34
8	8.09
9	5.26
10	0
11	0
12	0
13	3.14
14	3.1
15	3.01
16	0
17	0
18	1.71
19	2.35
20	2.4
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
