Repetition	Max. Angle Reached	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=16.28
1	17.69	[0, 0.0, 0.0, 37.58, 0.29, 0.32, 0.0, 0.35, 0.04, 0.0]	[0, 3, 4, 5, 6, 7, 8, 9, 10, 11]	[0, 0.0, 37.58, 37.87, 38.51, 38.51, 38.86, 38.9, 38.9, 38.9]
2	20.94	[0, 0.0, 0.0, 45.74, -0.42, 0.0]	[0, 15, 16, 17, 18, 19]	[0, 0.0, 45.74, 45.32, 45.32, 46.05]
3	16.59	[0, 0.0, 0.0, 21.84, 14.64]	[0, 21, 22, 23, 24]	[0, 0.0, 21.84, 36.48, 36.0]
X(Time)	Y(Angle)
0	0
1	0
2	0
3	0
4	17.09
5	17.22
6	17.51
7	17.51
8	17.67
9	17.69
10	17.69
11	17.69
12	17.69
13	0
14	0
15	0
16	20.8
17	20.61
18	20.61
19	20.94
20	9.55
21	0
22	9.93
23	16.59
24	16.37
25	6.9
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
