Repetition	Max. Angle Reached	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5
1	8.84	[0, 0.0, 4.64, 4.64, 4.33, 2.93, 2.21]	[0, 25, 26, 27, 28, 29, 30]	[0, 0.0, 10.2, 10.2, 19.04, 19.35, 19.44]
2	11.26	[0, 0.0, 5.36, 8.26, 5.4, 3.73, 2.81, 2.25]	[0, 60, 61, 62, 63, 64, 65, 66]	[0, 0.0, 11.79, 18.16, 23.75, 24.61, 24.76, 24.76]
3	10.84	[0, 0.0, 2.87, 7.49, 3.75, 3.57, 2.7, 2.17]	[0, 86, 87, 88, 89, 90, 91, 92]	[0, 0.0, 6.31, 16.47, 16.47, 23.55, 23.75, 23.84]
4	11.09	[0, 0.0, 5.93, 10.41, 5.51, 3.7, 2.77]	[0, 112, 113, 114, 115, 116, 117]	[0, 0.0, 13.04, 22.89, 24.26, 24.39, 24.39]
5	13.67	[0, 0.0, 1.89, 8.84, 6.02, 4.4, 3.4, 2.73]	[0, 140, 141, 142, 143, 144, 145, 146]	[0, 0.0, 4.16, 19.44, 26.48, 29.03, 29.86, 30.06]
6	13.79	[0, 0.0, 7.53, 11.98, 6.53, 4.56, 3.45, 2.76]	[0, 168, 169, 170, 171, 172, 173, 174]	[0, 0.0, 16.56, 26.35, 28.7, 30.06, 30.33, 30.33]
7	14.25	[0, 0.0, 7.56, 12.99, 6.95, 4.7, 3.56, 2.85]	[0, 197, 198, 199, 200, 201, 202, 203]	[0, 0.0, 16.63, 28.57, 30.57, 31.03, 31.27, 31.34]
8	16.64	[0, 0.0, 9.77, 13.52, 7.93, 5.5, 4.16, 3.33]	[0, 223, 224, 225, 226, 227, 228, 229]	[0, 0.0, 21.49, 29.73, 34.9, 36.26, 36.59, 36.59]
9	16.7	[0, 0.0, 2.19, 8.55, 6.71, 5.5, 4.17, 3.34, 2.78]	[0, 245, 246, 247, 248, 249, 250, 251, 252]	[0, 0.0, 4.82, 18.8, 29.49, 36.26, 36.66, 36.73, 36.73]
10	16.7	[0, 0.0, 10.97, 16.16, 8.27, 5.56, 4.17]	[0, 272, 273, 274, 275, 276, 277]	[0, 0.0, 24.12, 35.54, 36.37, 36.66, 36.73]
11	19.48	[0, 0.0, 8.55, 15.89, 9.6, 6.48, 4.87, 3.9]	[0, 315, 316, 317, 318, 319, 320, 321]	[0, 0.0, 18.8, 34.94, 42.2, 42.73, 42.84, 42.84]
12	19.31	[0, 0.0, 6.65, 13.23, 9.22, 6.36, 4.77, 3.86, 2.94]	[0, 343, 344, 345, 346, 347, 348, 349, 350]	[0, 0.0, 14.62, 29.09, 40.57, 41.98, 41.98, 42.46, 38.84]
13	19.41	[0, 0.0, 2.09, 13.29, 9.11, 6.36, 4.83, 3.88]	[0, 370, 371, 372, 373, 374, 375, 376]	[0, 0.0, 4.6, 29.23, 40.07, 41.98, 42.46, 42.68]
14	22.22	[0, 0.0, 13.79, 19.77, 10.79, 7.35, 5.55, 4.44]	[0, 401, 402, 403, 404, 405, 406, 407]	[0, 0.0, 30.33, 43.48, 47.46, 48.51, 48.86, 48.86]
15	21.97	[0, 0.0, 10.71, 20.27, 10.64, 7.27, 5.49, 4.36]	[0, 424, 425, 426, 427, 428, 429, 430]	[0, 0.0, 23.55, 44.58, 46.8, 47.96, 48.31, 47.92]
16	21.83	[0, 0.0, 6.69, 19.46, 10.68, 7.24, 5.46, 4.37]	[0, 446, 447, 448, 449, 450, 451, 452]	[0, 0.0, 14.71, 42.79, 46.95, 47.76, 48.01, 48.01]
X(Time)	Y(Angle)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	4.64
27	4.64
28	8.66
29	8.8
30	8.84
31	7.07
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	5.36
62	8.26
63	10.8
64	11.19
65	11.26
66	11.26
67	4.81
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	2.87
88	7.49
89	7.49
90	10.71
91	10.8
92	10.84
93	10.18
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	5.93
114	10.41
115	11.03
116	11.09
117	11.09
118	9.5
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	1.89
142	8.84
143	12.04
144	13.2
145	13.58
146	13.67
147	13.67
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	7.53
170	11.98
171	13.05
172	13.67
173	13.79
174	13.79
175	8.37
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	7.56
199	12.99
200	13.9
201	14.11
202	14.22
203	14.25
204	14.22
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	9.77
225	13.52
226	15.87
227	16.49
228	16.64
229	16.64
230	10.51
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	2.19
247	8.55
248	13.41
249	16.49
250	16.67
251	16.7
252	16.7
253	16.08
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	10.97
274	16.16
275	16.54
276	16.67
277	16.7
278	11.09
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	8.55
317	15.89
318	19.19
319	19.43
320	19.48
321	19.48
322	13.64
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	6.65
345	13.23
346	18.45
347	19.09
348	19.09
349	19.31
350	17.66
351	17.66
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	2.09
372	13.29
373	18.22
374	19.09
375	19.31
376	19.41
377	9.84
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
