Repetition	Max. Angle Reached	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5
1	8.11	[0, 0.0, 3.18, 8.08, 4.05, 2.7, 2.03]	[0, 72, 73, 74, 75, 76, 77]	[0, 0.0, 6.99, 17.77, 17.83, 17.83, 17.83]
2	9.29	[0, 0.0, 8.67, 9.18, 4.64, 0.62, 0.15, 0.07, 0.06, 0.05, 0.03, -0.03, 0.02, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.0, 0.7]	[0, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153]	[0, 0.0, 19.07, 20.19, 20.43, 4.09, 1.3, 0.77, 0.77, 0.77, 0.53, -0.68, 0.53, -0.13, -0.13, -0.29, -0.29, -0.29, -0.29, -0.13, 1.54]
3	8.04	[0, 0.0, 7.62, 7.96, 4.02]	[0, 175, 176, 177, 178]	[0, 0.0, 16.76, 17.5, 17.68]
4	10.34	[0, 0.0, 8.86, 10.16, 5.17, 3.45, 0.51, 0.16, 0.08, 0.05, 0.03, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.0, -0.06, -0.06, -0.03, -0.02, 0.0, 0.06, -0.06]	[0, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229]	[0, 0.0, 19.48, 22.34, 22.74, 22.74, 4.44, 1.8, 1.03, 0.77, 0.53, 0.4, 0.4, 0.4, 0.4, 0.4, 0.26, 0.13, -0.13, -0.13, -0.13, -0.13, 0.0, 0.13, -0.13]
5	12.9	[0, 0.0, 11.24, 12.9, 6.45, 2.63, 0.25, 0.09, 0.06, 0.04, 0.03, 0.04, 0.03, 0.02, 0.02, 0.02, 0.0, 0.06, 0.06, 0.06, 0.04, 0.04, 0.02, 0.01, -0.01]	[0, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280]	[0, 0.0, 24.72, 28.37, 28.37, 17.35, 2.18, 1.03, 0.77, 0.66, 0.53, 0.77, 0.66, 0.53, 0.53, 0.66, 0.13, 0.13, 0.13, 0.26, 0.26, 0.4, 0.26, 0.13, -0.13]
6	10.27	[0, 0.0, 7.31, 9.75, 5.07, 3.4, 2.57, 0.32, 0.11]	[0, 307, 308, 309, 310, 311, 312, 313, 314]	[0, 0.0, 16.08, 21.44, 22.28, 22.43, 22.58, 3.5, 1.43]
7	13.36	[0, 0.0, 9.5, 13.14, 6.62, 4.45, 3.01, 0.29, 0.05, 0.06, 0.04, 0.04, 0.03, 0.04, 0.02, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, -0.03, -0.0, -0.31, -0.62, -0.1, -0.06, -0.03, -0.04, -0.02]	[0, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386]	[0, 0.0, 20.89, 28.9, 29.12, 29.38, 26.5, 3.14, 0.66, 0.9, 0.77, 0.77, 0.77, 1.03, 0.53, 0.77, 0.77, 0.77, 0.77, 0.9, 0.9, 0.9, -1.36, -0.13, -0.68, -1.36, -0.42, -0.42, -0.29, -0.42, -0.29]
8	14.05	[0, 0.0, 8.26, 13.66, 6.95, 4.68, 2.52, 0.29, 0.07, 0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.01, -0.01, -0.01]	[0, 396, 397, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410, 411, 412]	[0, 0.0, 18.16, 30.04, 30.57, 30.9, 22.21, 3.14, 0.9, 0.26, -0.29, -0.42, -0.42, -0.42, -0.42, -0.42, -0.42, -0.42]
9	0.41	[0, 0.0, 0.24, 0.0, 0.18, 0.41]	[0, 415, 416, 417, 418, 419]	[0, 0.0, 0.53, 0.0, 0.4, 0.9]
10	14.25	[0, 0.0, 13.11, 14.19, 7.12]	[0, 457, 458, 459, 460]	[0, 0.0, 28.83, 31.21, 31.34]
X(Time)	Y(Angle)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	3.18
74	8.08
75	8.11
76	8.11
77	8.11
78	8.04
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	8.67
136	9.18
137	9.29
138	1.86
139	0.59
140	0.35
141	0.35
142	0.35
143	0.24
144	-0.31
145	0.24
146	-0.06
147	-0.06
148	-0.13
149	-0.13
150	-0.13
151	-0.13
152	-0.06
153	0.7
154	0.47
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	7.62
177	7.96
178	8.04
179	7.31
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	8.86
208	10.16
209	10.34
210	10.34
211	2.02
212	0.82
213	0.47
214	0.35
215	0.24
216	0.18
217	0.18
218	0.18
219	0.18
220	0.18
221	0.12
222	0.06
223	-0.06
224	-0.06
225	-0.06
226	-0.06
227	0.0
228	0.06
229	-0.06
230	0.0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	11.24
259	12.9
260	12.9
261	7.89
262	0.99
263	0.47
264	0.35
265	0.3
266	0.24
267	0.35
268	0.3
269	0.24
270	0.24
271	0.3
272	0.06
273	0.06
274	0.06
275	0.12
276	0.12
277	0.18
278	0.12
279	0.06
280	-0.06
281	0.12
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	7.31
309	9.75
310	10.13
311	10.2
312	10.27
313	1.59
314	0.65
315	0.47
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	9.5
359	13.14
360	13.24
361	13.36
362	12.05
363	1.43
364	0.3
365	0.41
366	0.35
367	0.35
368	0.35
369	0.47
370	0.24
371	0.35
372	0.35
373	0.35
374	0.35
375	0.41
376	0.41
377	0.41
378	-0.62
379	-0.06
380	-0.31
381	-0.62
382	-0.19
383	-0.19
384	-0.13
385	-0.19
386	-0.13
387	-0.19
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	8.26
398	13.66
399	13.9
400	14.05
401	10.1
402	1.43
403	0.41
404	0.12
405	-0.13
406	-0.19
407	-0.19
408	-0.19
409	-0.19
410	-0.19
411	-0.19
412	-0.19
413	-0.19
414	0
415	0
416	0.24
417	0.0
418	0.18
419	0.41
420	0.41
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
