Repetition	Max. Angle Reached	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5
1	21.62	[0, 0.0, 20.22, 20.93, 10.72, 7.21, 0.58, 0.23, 0.21, 0.19, 0.16, 0.14, 0.12]	[0, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]	[0, 0.0, 44.47, 46.03, 47.17, 47.54, 5.15, 2.48, 2.75, 2.99, 2.86, 2.75, 2.75]
2	22.18	[0, 0.0, 21.83, 22.02, 11.08, 7.39, 0.6, 0.29, 0.2, 0.15]	[0, 54, 55, 56, 57, 58, 59, 60, 61, 62]	[0, 0.0, 48.01, 48.42, 48.73, 48.78, 5.28, 3.23, 2.62, 2.38]
X(Time)	Y(Angle)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	20.22
28	20.93
29	21.45
30	21.62
31	2.34
32	1.13
33	1.25
34	1.36
35	1.3
36	1.25
37	1.25
38	1.3
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	21.83
56	22.02
57	22.16
58	22.18
59	2.4
60	1.47
61	1.19
62	1.08
63	1.08
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	5.46
78	20.37
79	20.83
80	20.95
81	20.97
82	3.02
83	1.42
84	1.19
85	1.19
86	1.3
87	1.25
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	1.13
132	0
133	0
134	0
135	0
136	1.13
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
