Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5	Max. Angle Reached2
1	8.38	[0, 7.82, 8.22, 4.11, 2.79, 2.1, 1.68, 1.4, 1.2, 1.05, 0.71]	[0, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53]	[0, 17.2, 18.08, 18.08, 18.43, 18.43, 18.43, 18.43, 18.43, 18.43, 14.05]	13.67
2	8.46	[0, 8.46, 8.14, 4.19, 2.82, 2.12, 1.68, 1.4, 1.2, 1.05, 0.93]	[0, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75]	[0, 18.6, 17.9, 18.43, 18.6, 18.6, 18.52, 18.43, 18.43, 18.43, 18.43]	3.96
3	9.12	[0, 8.62, 9.0, 4.56, 2.96, 2.22, 1.78, 1.44, 1.24, 1.08, 0.96]	[0, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97]	[0, 18.96, 19.79, 20.06, 19.55, 19.55, 19.55, 19.04, 19.04, 19.04, 19.04]	5.17
4	9.46	[0, 8.7, 8.7, 4.35, 3.15, 2.35, 1.88, 1.57, 1.34, 1.16, 1.03, 0.93, 0.12, 0.05, 0.04, 0.04, 0.03, 0.03, 0.03, 0.03, 0.03, 0.07]	[0, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134]	[0, 19.13, 19.13, 19.13, 20.8, 20.72, 20.72, 20.72, 20.56, 20.47, 20.47, 20.47, 2.79, 1.43, 1.14, 1.14, 1.14, 1.14, 1.14, 1.14, 1.14, 3.19]	7.4
5	9.27	[0, -0.21, 8.85, 4.58, 3.09, 2.32, 1.85, 1.54, 1.32, 1.16, 1.03]	[0, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152]	[0, -0.46, 19.46, 20.14, 20.39, 20.39, 20.39, 20.39, 20.39, 20.39, 20.39]	5.1
6	3.02	[0, 3.02, 0.77, 0.23, 0.15, 0.12, 0.09, 0.08, 0.07, 0.06, 0.05, 0.05, 0.04, 0.04, 0.04, 0.03, 0.03, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.46, 0.46, 0.23, 0.15, 0.12, 0.09, 0.08, 0.07, 0.07, 0.06, 0.07, 0.08, 0.07, 0.06, 0.06, 0.06, 0.05, 0.04, 0.04, 0.04, 0.04, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]	[0, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295]	[0, 6.64, 1.69, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.14, 1.14, 1.28, 1.56, 1.85, 1.85, 1.85, 1.85, 1.85, 1.69, 1.56, 1.56, 1.56, 1.56, 1.43, 1.28, 1.28, 1.14, 1.14, 1.14, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.01, 1.14]	3.53
7	10.63	[0, 3.91, 10.27, 5.13, 3.54, 2.66, 2.13, 1.76]	[0, 422, 423, 424, 425, 426, 427, 428]	[0, 8.6, 22.58, 22.58, 23.38, 23.38, 23.38, 23.29]	3.31
8	10.81	[0, 0.58, 10.45, 5.32, 3.54, 2.7, 2.1, 1.75, 1.51]	[0, 459, 460, 461, 462, 463, 464, 465, 466]	[0, 1.28, 22.98, 23.38, 23.38, 23.77, 23.13, 23.13, 23.29]	0
9	10.02	[0, 0.65, 10.02, 5.01, 3.34, 2.5]	[0, 472, 473, 474, 475, 476]	[0, 1.43, 22.04, 22.04, 22.04, 22.04]	0
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	7.82	13.67
45	8.22	13.67
46	8.22	13.67
47	8.38	11.14
48	8.38	9.7
49	8.38	9.7
50	8.38	9.7
51	8.38	9.7
52	8.38	9.7
53	6.39	9.7
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	8.46	2.08
67	8.14	2.08
68	8.38	2.08
69	8.46	2.08
70	8.46	-0.71
71	8.42	-0.71
72	8.38	-0.71
73	8.38	3.96
74	8.38	3.59
75	8.38	1.36
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	8.62	-0.9
89	9.0	-0.9
90	9.12	5.17
91	8.89	5.17
92	8.89	5.17
93	8.89	5.17
94	8.66	5.17
95	8.66	4.49
96	8.66	4.49
97	8.66	4.49
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	8.7	-1.68
115	8.7	-1.68
116	8.7	7.4
117	9.46	7.4
118	9.42	7.4
119	9.42	7.4
120	9.42	7.4
121	9.35	6.72
122	9.31	6.72
123	9.31	6.72
124	9.31	-0.27
125	1.27	-0.27
126	0.65	-0.27
127	0.52	-0.27
128	0.52	-0.27
129	0.52	0.75
130	0.52	0.75
131	0.52	0.39
132	0.52	0.39
133	0.52	0.39
134	1.45	0.39
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	-0.21	5.1
144	8.85	5.1
145	9.16	4.53
146	9.27	4.09
147	9.27	4.09
148	9.27	4.09
149	9.27	4.09
150	9.27	4.09
151	9.27	4.09
152	9.27	2.37
153	0	0
154	0	0
155	0	0
156	0	0
157	3.02	-2.69
158	0.77	-2.79
159	0.46	-2.79
160	0.46	-2.79
161	0.46	-2.79
162	0.46	-0.96
163	0.46	-0.85
164	0.46	-0.85
165	0.46	-0.85
166	0.46	-0.74
167	0.46	-0.74
168	0.46	-0.63
169	0.46	-0.63
170	0.46	-0.63
171	0.46	-0.63
172	0.46	-0.63
173	0.46	-0.63
174	0.46	0.48
175	0.46	0.48
176	0.46	0.48
177	0.46	0.48
178	0.46	0.48
179	0.46	0.48
180	0.46	0.58
181	0.46	0.48
182	0.46	0.48
183	0.46	0.48
184	0.46	0.39
185	0.46	0.39
186	0.46	0.39
187	0.46	0.39
188	0.46	0.39
189	0.46	0.39
190	0.46	0.39
191	0.46	0.39
192	0.46	0.48
193	0.46	0.48
194	0.46	0.48
195	0.46	0.58
196	0.46	0.58
197	0.46	0.58
198	0.46	0.58
199	0.46	0.76
200	0.46	0.76
201	0.46	0.94
202	0.46	0.94
203	0.46	1.03
204	0.46	1.03
205	0.46	1.03
206	0.46	1.03
207	0.46	1.12
208	0.46	1.12
209	0.46	1.12
210	0.46	1.21
211	0.46	1.21
212	0.46	1.21
213	0.46	1.3
214	0.46	1.3
215	0.46	1.3
216	0.46	1.3
217	0.46	1.38
218	0.46	1.38
219	0.46	1.55
220	0.46	1.55
221	0.46	1.55
222	0.46	1.55
223	0.46	1.72
224	0.46	1.8
225	0.46	1.88
226	0.46	1.88
227	0.46	1.88
228	0.46	1.88
229	0.46	1.88
230	0.46	2.04
231	0.46	2.04
232	0.46	2.04
233	0.46	2.12
234	0.46	2.12
235	0.46	2.12
236	0.46	2.2
237	0.46	2.2
238	0.46	2.2
239	0.46	2.28
240	0.46	2.28
241	0.46	2.28
242	0.46	2.36
243	0.46	2.36
244	0.46	2.28
245	0.46	2.28
246	0.46	2.36
247	0.46	2.36
248	0.46	2.36
249	0.46	2.36
250	0.46	2.36
251	0.46	2.36
252	0.46	2.36
253	0.46	2.36
254	0.46	2.36
255	0.46	2.36
256	0.46	2.36
257	0.46	2.51
258	0.52	2.59
259	0.52	2.89
260	0.58	2.89
261	0.71	3.1
262	0.84	3.1
263	0.84	3.1
264	0.84	2.66
265	0.84	2.12
266	0.84	1.8
267	0.77	1.8
268	0.71	1.8
269	0.71	1.8
270	0.71	1.8
271	0.71	1.55
272	0.65	1.55
273	0.58	1.55
274	0.58	1.55
275	0.52	1.55
276	0.52	1.55
277	0.52	1.55
278	0.46	1.55
279	0.46	1.55
280	0.46	1.72
281	0.46	1.63
282	0.46	1.63
283	0.46	1.8
284	0.46	1.8
285	0.46	1.8
286	0.46	1.8
287	0.46	3.53
288	0.46	3.53
289	0.46	3.53
290	0.46	3.46
291	0.46	3.46
292	0.46	3.46
293	0.46	3.46
294	0.46	3.46
295	0.52	3.46
296	0	0
297	0	0
298	0	0
299	0	0
300	0	0
301	0	0
302	0	0
303	0	0
304	0	0
305	0	0
306	0	0
307	0	0
308	0	0
309	0	0
310	0	0
311	0	0
312	0	0
313	0	0
314	0	0
315	0	0
316	0	0
317	0	0
318	0	0
319	0	0
320	0	0
321	0	0
322	0	0
323	0	0
324	0	0
325	0	0
326	0	0
327	0	0
328	0	0
329	0	0
330	0	0
331	0	0
332	0	0
333	0	0
334	0	0
335	0	0
336	0	0
337	0	0
338	0	0
339	0	0
340	0	0
341	0	0
342	0	0
343	0	0
344	0	0
345	0	0
346	0	0
347	0	0
348	0	0
349	0	0
350	0	0
351	0	0
352	0	0
353	0	0
354	0	0
355	0	0
356	0	0
357	0	0
358	0	0
359	0	0
360	0	0
361	0	0
362	0	0
363	0	0
364	0	0
365	0	0
366	0	0
367	0	0
368	0	0
369	0	0
370	0	0
371	0	0
372	0	0
373	0	0
374	0	0
375	0	0
376	0	0
377	0	0
378	0	0
379	0	0
380	0	0
381	0	0
382	0	0
383	0	0
384	0	0
385	0	0
