Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	9.64	[0, 9.64, 9.1, 4.71, 3.15, 2.36, 1.87, 1.58, 1.3, 0.27, 0.24, 0.22, 0.04, 0.03, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.04]	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]	[0, 21.2, 20.01, 20.69, 20.76, 20.76, 20.61, 20.91, 20.08, 4.79, 4.79, 4.79, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 0.86, 1.78]	7.86
2	9.71	[0, 8.3, 9.2, 4.72, 3.17, 2.38, 1.94, 1.6, 1.36, 0.21, 0.1]	[0, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]	[0, 18.25, 20.23, 20.76, 20.91, 20.91, 21.35, 21.13, 20.98, 3.72, 2.02]	12.29
3	9.13	[0, 6.75, 8.4, 4.2, 2.8, 2.1, 1.77, 1.49, 1.3, 1.1, 0.08, 0.07, -0.03, -0.07, -0.06, -0.05]	[0, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73]	[0, 14.84, 18.47, 18.47, 18.47, 18.47, 19.48, 19.7, 20.08, 19.33, 1.56, 1.56, -0.75, -1.89, -1.76, -1.65]	12.41
4	13.73	[0, 9.27, 12.65, 6.33, 4.31, 3.33, 2.67, 2.27, 1.96, 0.94, 0.19, 0.13, 0.07, 0.06]	[0, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98]	[0, 20.39, 27.82, 27.82, 28.41, 29.31, 29.31, 29.95, 30.19, 16.58, 3.72, 2.81, 1.78, 1.67]	15.35
5	13.15	[0, 6.94, 11.33, 6.12, 4.08, 3.25, 2.62, 2.19, 1.88, 0.81, 0.72, 0.14, 0.11, 0.1, 0.09, 0.08, 0.08, 0.07, 0.07]	[0, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127]	[0, 15.26, 24.92, 26.9, 26.9, 28.61, 28.85, 28.92, 28.92, 14.25, 14.25, 3.17, 2.59, 2.59, 2.59, 2.59, 2.59, 2.59, 2.59]	13.13
6	13.21	[0, 2.75, 2.75, 5.57, 3.98, 2.99, 2.49, 2.08, 1.78, 1.56, 1.43, 1.32, 0.24, 0.22, 0.05, 0.04, 0.06]	[0, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172]	[0, 6.05, 6.05, 24.5, 26.28, 26.28, 27.36, 27.42, 27.42, 27.42, 28.28, 29.05, 5.85, 5.85, 1.32, 1.32, 1.91]	28.8
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	9.64	7.86
2	9.1	7.86
3	9.41	5.6
4	9.44	5.18
5	9.44	4.86
6	9.37	4.64
7	9.51	4.75
8	9.13	4.75
9	2.18	4.75
10	2.18	4.75
11	2.18	4.75
12	0.39	4.75
13	0.39	-6.87
14	0.39	-6.87
15	0.39	-6.87
16	0.39	-6.87
17	0.39	-5.97
18	0.39	-5.58
19	0.39	-5.58
20	0.39	-6.17
21	0.39	-6.17
22	0.81	-4.31
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	8.3	0.0
37	9.2	0.0
38	9.44	12.29
39	9.51	12.29
40	9.51	11.98
41	9.71	12.03
42	9.61	12.03
43	9.54	12.12
44	1.69	1.55
45	0.92	0.39
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	6.75	9.36
60	8.4	9.36
61	8.4	11.03
62	8.4	11.11
63	8.4	11.11
64	8.86	11.11
65	8.96	11.11
66	9.13	11.11
67	8.79	12.41
68	0.71	3.29
69	0.71	3.29
70	-0.34	3.29
71	-0.86	3.29
72	-0.8	3.29
73	-0.75	3.29
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	9.27	13.65
87	12.65	11.7
88	12.65	11.7
89	12.92	14.51
90	13.33	14.78
91	13.33	14.78
92	13.62	14.78
93	13.73	15.35
94	7.54	15.35
95	1.69	12.38
96	1.28	12.38
97	0.81	12.38
98	0.76	12.38
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	6.94	6.24
111	11.33	8.04
112	12.23	8.04
113	12.23	8.04
114	13.01	8.04
115	13.12	12.67
116	13.15	13.13
117	13.15	13.13
118	6.48	13.13
119	6.48	13.13
120	1.44	13.13
121	1.18	3.45
122	1.18	3.45
123	1.18	3.34
124	1.18	3.16
125	1.18	4.14
126	1.18	4.48
127	1.18	4.48
128	0	0
129	0	0
130	0	0
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	0	0
146	0	0
147	0	0
148	0	0
149	0	0
150	0	0
151	0	0
152	0	0
153	0	0
154	0	0
155	0	0
156	0	0
157	2.75	19.07
158	2.75	22.94
159	11.14	24.24
160	11.95	25.26
161	11.95	25.26
162	12.44	25.26
163	12.47	26.66
164	12.47	27.45
165	12.47	27.94
166	12.86	28.11
167	13.21	28.8
168	2.66	28.8
169	2.66	28.8
170	0.6	28.8
171	0.6	28.8
172	0.87	21.82
173	0	0
174	0.39	-6.6
