Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	6.52	[0, 6.07, 6.29, 3.22, 2.17, 1.63, 1.3, 1.07, 0.12, 0.01, -0.02, -0.02, -0.01, 0.25, -0.01, -0.02, -0.02]	[0, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]	[0, 13.35, 13.83, 14.16, 14.34, 14.34, 14.34, 14.16, 1.8, 0.11, -0.35, -0.35, -0.35, 6.64, -0.24, -0.59, -0.59]	11.37
2	7.21	[0, 6.63, 6.99, 3.6, 2.4, 1.8, 0.36, 0.08, 0.04, 0.04, 0.03, 0.03, 0.03, 0.03]	[0, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70]	[0, 14.58, 15.37, 15.86, 15.86, 15.86, 3.94, 1.01, 0.68, 0.68, 0.68, 0.68, 0.68, 0.68]	12.42
3	9.53	[0, 0.46, 0.46, 4.67, 3.17, 2.38, 1.91, 1.59, 1.36, 1.05, 0.18, 0.16, 0.01, 0.01, 0.01]	[0, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]	[0, 1.01, 1.01, 20.54, 20.89, 20.96, 20.96, 20.96, 20.96, 18.54, 3.63, 3.63, 0.22, 0.22, 0.33]	11.31
4	1.02	[0, 0.21, 1.02, 0.15, 0.1, 0.08, 0.06, 0.05]	[0, 139, 140, 141, 142, 143, 144, 145]	[0, 0.46, 2.24, 0.68, 0.68, 0.68, 0.68, 0.68]	4.79
5	8.81	[0, 2.93, 2.93, 4.03, 2.69, 2.19, 1.75, 1.46, 1.25, 1.1, 0.16, 0.14, 0.0, 0.05, 0.05, 0.03, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01]	[0, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178]	[0, 6.44, 6.44, 17.72, 17.72, 19.29, 19.29, 19.29, 19.22, 19.37, 3.1, 3.1, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11]	14.29
6	9.04	[0, 7.1, 7.1, 3.55, 3.01, 2.26, 1.81, 1.51, 1.29, 1.13, 1.0, 0.06, 0.01, 0.0, 0.05, 0.05, 0.03, 0.02, 0.01]	[0, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210]	[0, 15.61, 15.61, 15.61, 19.88, 19.88, 19.88, 19.88, 19.88, 19.88, 19.88, 1.36, 0.22, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11]	13.12
7	12.81	[0, 1.55, 9.63, 5.95, 4.16, 3.12, 2.56, 2.11, 1.82, 1.57, 1.38, 0.15, 0.02, 0.0, 0.0, 0.0, 0.05, 0.05, 0.0, 0.72]	[0, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242]	[0, 3.41, 21.18, 26.17, 27.47, 27.47, 28.17, 27.91, 27.97, 27.6, 27.33, 3.21, 0.46, 0.0, 0.0, 0.0, 0.11, 0.11, 0.0, 1.58]	15.75
8	12.55	[0, 7.5, 11.08, 5.93, 4.1, 3.13, 2.4, 2.04, 1.79, 1.57, 1.39, 0.08, 0.03, 0.02]	[0, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271]	[0, 16.49, 24.37, 26.1, 27.07, 27.53, 26.43, 26.87, 27.53, 27.6, 27.6, 1.8, 0.68, 0.46]	15.32
9	12.43	[0, 3.96, 10.34, 5.17, 4.14, 3.11, 2.47, 2.06, 1.76, 1.53, 1.36, 1.22, 0.06, 0.03]	[0, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301]	[0, 8.71, 22.74, 22.74, 27.33, 27.33, 27.2, 27.14, 27.14, 26.87, 26.87, 26.87, 1.36, 0.79]	13.71
10	3.92	[0, 3.92, -0.16, -0.14, -0.11, -0.08, -0.06, -0.05, -0.03, -0.03, -0.02, -0.02, -0.03]	[0, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320]	[0, 8.62, -0.35, -0.59, -0.7, -0.7, -0.7, -0.7, -0.48, -0.48, -0.48, -0.48, -0.84]	5.02
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	6.07	4.56
31	6.29	11.37
32	6.44	11.37
33	6.52	11.37
34	6.52	11.37
35	6.52	10.59
36	6.44	10.59
37	0.82	10.59
38	0.05	3.92
39	-0.16	3.81
40	-0.16	3.81
41	-0.16	3.81
42	3.02	3.81
43	-0.11	3.81
44	-0.27	6.46
45	-0.27	6.46
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	6.63	5.05
59	6.99	12.42
60	7.21	12.42
61	7.21	12.37
62	7.21	12.37
63	1.79	3.81
64	0.46	3.81
65	0.31	4.56
66	0.31	4.76
67	0.31	4.76
68	0.31	5.05
69	0.31	4.95
70	0.31	5.14
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0.46	11.01
87	0.46	9.79
88	9.34	10.21
89	9.5	10.21
90	9.53	10.83
91	9.53	11.31
92	9.53	11.31
93	9.53	11.31
94	8.43	11.31
95	1.65	0.42
96	1.65	0.42
97	0.1	-1.42
98	0.1	-1.03
99	0.15	-1.03
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	0	0
128	0	0
129	0	0
130	0	0
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0.21	4.79
140	1.02	4.79
141	0.31	-0.65
142	0.31	-0.65
143	0.31	-1.61
144	0.31	-1.48
145	0.31	-1.48
146	0	0
147	0	0
148	0	0
149	0	0
150	0	0
151	0	0
152	0	0
153	0	0
154	0	0
155	0	0
156	0	0
157	0	0
158	2.93	0.0
159	2.93	0.0
160	8.06	12.61
161	8.06	12.61
162	8.77	13.62
163	8.77	13.62
164	8.77	14.29
165	8.74	14.29
166	8.81	13.18
167	1.41	13.18
168	1.41	0.57
169	0.05	2.69
170	0.05	2.69
171	0.05	1.6
172	0.05	1.6
173	0.05	1.31
174	0.05	1.21
175	0.05	1.31
176	0.05	1.0
177	0.05	1.0
178	0.05	1.21
179	0	0
180	0	0
181	0	0
182	0	0
183	0	0
184	0	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	7.1	9.45
194	7.1	9.45
195	7.1	9.45
196	9.04	9.45
197	9.04	9.45
198	9.04	9.45
199	9.04	13.12
200	9.04	13.12
201	9.04	13.12
202	9.04	2.42
203	0.62	0.9
204	0.1	0.9
205	0.05	0.9
206	0.05	0.9
207	0.05	0.9
208	0.05	0.9
209	0.05	0.9
210	0.05	0.82
211	0	0
212	0	0
213	0	0
214	0	0
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	1.55	-0.36
225	9.63	14.39
226	11.9	14.39
227	12.49	14.39
228	12.49	15.69
229	12.81	15.69
230	12.69	15.69
231	12.72	15.75
232	12.55	15.75
233	12.43	15.29
234	1.46	15.29
235	0.21	-0.29
236	0.0	0.08
237	0.0	0.08
238	0.0	0.08
239	0.05	0.64
240	0.05	0.64
241	0.0	0.64
242	0.72	0.64
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
256	0	0
257	0	0
258	0	0
259	7.5	9.65
260	11.08	13.91
261	11.87	13.91
262	12.31	14.92
263	12.52	14.92
264	12.02	15.32
265	12.22	14.92
266	12.52	14.86
267	12.55	14.48
268	12.55	-3.13
269	0.82	-1.89
270	0.31	-1.89
271	0.21	-1.25
272	0	0
273	0	0
274	0	0
275	0	0
276	0	0
277	0	0
278	0	0
279	0	0
280	0	0
281	0	0
282	0	0
283	0	0
284	0	0
