Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	13.79	[0, 4.34, 12.82, 6.41, 4.27, 3.45, 2.74, 2.29, 1.95, 0.21, 0.08, 0.02, 0.0, 0.34, 0.28, 0.14, 0.11, 0.09, 0.02, 0.05]	[0, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]	[0, 9.54, 28.19, 28.19, 28.19, 30.33, 30.08, 30.19, 30.08, 3.78, 1.58, 0.37, 0.0, 0.75, 0.62, 0.62, 0.75, 0.75, 0.26, 0.62]	16.5
2	2.46	[0, 1.31, 0.62, 0.17, 0.11, 0.09, 0.06, 0.05, 0.04, 0.04, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.03, 0.02, 0.04, 0.04, 0.04, 0.05, 0.06, 0.06, 0.06, 0.01, 0.01, 0.02, 0.02]	[0, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88]	[0, 2.88, 1.36, 0.75, 0.75, 0.75, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.62, 0.88, 0.99, 1.12, 1.23, 1.36, 1.47, 1.47, 1.47, 1.47, 1.83, 1.83, 2.99, 3.32, 3.54, 4.55, 5.41, 5.41, 5.41, 0.75, 1.12, 1.58, 1.58]	14.53
3	16.84	[0, 1.15, 15.89, 8.27, 5.51, 4.21, 3.37, 2.81, 2.41, 2.1, 0.47]	[0, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106]	[0, 2.53, 34.94, 36.35, 36.35, 36.99, 37.03, 37.03, 37.03, 37.03, 9.35]	21.94
4	16.16	[0, -0.52, -0.52, 7.92, 5.28, 4.0, 3.2, 2.67, 2.31, 2.02, 0.22, 0.04, 0.03, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.03, 0.07, 0.03, 0.01, 0.01]	[0, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170]	[0, -1.14, -1.14, 34.81, 34.81, 35.23, 35.23, 35.23, 35.54, 35.54, 4.44, 0.99, 0.62, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.37, 0.51, 1.12, 3.32, 1.23, 0.62, 0.62]	20.56
5	18.58	[0, 0.4, 18.23, 9.24, 6.19, 4.64, 3.71, 3.09, 2.65, 2.32]	[0, 181, 182, 183, 184, 185, 186, 187, 188, 189]	[0, 0.88, 40.09, 40.64, 40.86, 40.79, 40.79, 40.79, 40.86, 40.86]	21.44
6	21.64	[0, 20.18, 21.43, 10.79, 7.19, 5.41, 4.31, 3.6, 3.08]	[0, 207, 208, 209, 210, 211, 212, 213, 214]	[0, 44.38, 47.13, 47.43, 47.43, 47.59, 47.43, 47.48, 47.48]	23.37
7	2.7	[0, 2.51, 1.1, 0.52, 0.42, 0.17, 0.16, 0.13, 0.1, 0.09, 0.06, 0.05, 0.03, 0.01, -0.0, -0.11, -0.17, -0.11, -0.07, -0.06, -0.02, -0.02, -0.02, -0.01, -0.01, -0.02, -0.02, -0.01, -0.01, -0.01, -0.01, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05, -0.05, -0.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06, 0.12, 0.06, 0.04, 0.03, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.06, 0.06, 0.03, 0.02, 0.0, 0.0, -0.05, -0.05, -0.03, -0.02, -0.01, -0.01, -0.01, -0.01, 0.01, 0.01, 0.01, 0.02, 0.01, 0.03, 0.04, 0.06, 0.13, 0.16, 0.15, -0.02, -0.02, -0.02]	[0, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347]	[0, 5.52, 2.42, 2.29, 2.75, 1.47, 1.72, 1.72, 1.58, 1.58, 1.12, 1.12, 0.62, 0.26, -0.11, -0.24, -0.37, -0.48, -0.48, -0.48, -0.24, -0.24, -0.24, -0.24, -0.24, -0.37, -0.37, -0.37, -0.37, -0.37, -0.24, -0.11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.11, -0.11, -0.11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.26, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13, 0.0, 0.0, -0.11, -0.11, -0.11, -0.11, -0.11, -0.11, -0.11, -0.11, 0.13, 0.26, 0.26, 0.37, 0.37, 0.75, 1.36, 1.94, 4.66, 5.94, 5.94, -0.88, -1.01, -0.75]	19.37
8	21.16	[0, 21.16, 1.15, 0.34, 0.19, 0.14, 0.11, 0.09, 0.08, 0.07, 0.06, 0.06, 0.05, 0.05, 0.04, 0.04, 0.04, 0.04, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.56, 0.56, 0.28, 0.17, 0.1, 0.08, 0.07]	[0, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410, 411, 412, 413, 414, 415, 416, 417, 418, 419, 420, 421, 422, 423, 424, 425, 426, 427, 428, 429, 430, 431, 432, 433, 434, 435, 436, 437, 438, 439, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 452, 453, 454, 455, 456, 457, 458, 459, 460, 461, 462, 463, 464, 465, 466, 467, 468, 469, 470, 471, 472, 473, 474, 475, 476, 477, 478, 479, 480, 481, 482, 483, 484]	[0, 46.53, 2.53, 1.47, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.23, 1.12, 0.88, 0.88, 0.88]	15.93
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	4.34	5.35
9	12.82	16.5
10	12.82	16.5
11	12.82	16.21
12	13.79	16.21
13	13.68	16.1
14	13.73	16.0
15	13.68	15.15
16	1.72	15.15
17	0.72	-3.8
18	0.17	-0.53
19	0.0	-3.8
20	0.34	-3.8
21	0.28	-5.06
22	0.28	-5.06
23	0.34	-2.98
24	0.34	-3.23
25	0.12	-5.06
26	0.28	-5.06
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	1.31	14.53
44	0.62	14.53
45	0.34	-2.07
46	0.34	-2.88
47	0.34	-2.88
48	0.28	-2.88
49	0.28	-2.88
50	0.28	-2.88
51	0.28	-3.36
52	0.28	-3.36
53	0.28	-3.36
54	0.28	-3.36
55	0.28	-3.63
56	0.28	-3.63
57	0.28	-3.63
58	0.28	-3.93
59	0.28	-3.93
60	0.28	-3.93
61	0.28	-3.93
62	0.28	-3.93
63	0.28	-3.93
64	0.28	-3.93
65	0.28	-3.93
66	0.28	-3.93
67	0.4	-3.93
68	0.45	-4.27
69	0.51	-4.67
70	0.56	-4.67
71	0.62	-4.67
72	0.67	-4.67
73	0.67	-3.11
74	0.67	-2.88
75	0.67	-2.88
76	0.83	-2.07
77	0.83	-2.07
78	1.36	-2.07
79	1.51	-2.07
80	1.61	-0.66
81	2.07	-0.66
82	2.46	-0.66
83	2.46	-0.66
84	2.46	-0.66
85	0.34	-3.93
86	0.51	-3.93
87	0.72	-3.63
88	0.72	-5.19
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	1.15	0.3
98	15.89	0.3
99	16.53	0.3
100	16.53	21.84
101	16.82	21.84
102	16.84	21.27
103	16.84	21.27
104	16.84	21.8
105	16.84	21.94
106	4.25	21.94
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	0	0
128	0	0
129	0	0
130	0	0
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	0	0
146	-0.52	13.25
147	-0.52	13.25
148	15.83	20.56
149	15.83	20.56
150	16.02	20.14
151	16.02	20.14
152	16.02	20.14
153	16.16	19.82
154	16.16	19.5
155	2.02	2.69
156	0.45	2.69
157	0.28	2.69
158	0.17	2.69
159	0.17	3.11
160	0.17	3.11
161	0.17	3.11
162	0.17	3.11
163	0.17	3.11
164	0.17	0.52
165	0.23	0.52
166	0.51	0.52
167	1.51	7.54
168	0.56	1.74
169	0.28	1.56
170	0.28	1.37
171	0	0
172	0	0
173	0	0
174	0	0
175	0	0
176	0	0
177	0	0
178	0	0
179	0	0
180	0	0
181	0.4	0.62
182	18.23	0.62
183	18.48	0.62
184	18.58	0.62
185	18.55	21.44
186	18.55	21.44
187	18.55	21.44
188	18.58	20.39
189	18.58	19.67
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	20.18	1.74
208	21.43	23.37
209	21.57	23.37
210	21.57	23.37
211	21.64	23.37
212	21.57	23.37
213	21.59	23.37
214	21.59	21.83
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	0	0
225	0	0
226	0	0
227	0	0
228	0	0
229	0	0
230	0	0
231	0	0
232	0	0
233	0	0
234	0	0
235	0	0
236	0	0
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
256	2.51	19.37
257	1.1	-0.97
258	1.04	-5.38
259	1.25	-5.38
260	0.67	-1.97
261	0.78	-1.71
262	0.78	-1.33
263	0.72	-0.86
264	0.72	-0.53
265	0.51	-0.31
266	0.51	-0.21
267	0.28	-0.21
268	0.12	-0.21
269	-0.05	-0.21
270	-0.11	0.95
271	-0.17	1.48
272	-0.22	1.82
273	-0.22	2.22
274	-0.22	2.22
275	-0.11	2.22
276	-0.11	2.22
277	-0.11	2.22
278	-0.11	5.56
279	-0.11	5.44
280	-0.17	5.44
281	-0.17	5.44
282	-0.17	5.44
283	-0.17	5.44
284	-0.17	5.44
285	-0.11	5.44
286	-0.05	5.44
287	0.0	5.44
288	0.0	5.44
289	0.0	5.44
290	0.0	5.44
291	0.0	5.44
292	0.0	5.44
293	0.0	5.44
294	0.0	5.44
295	0.0	5.44
296	0.0	5.44
297	0.0	5.44
298	-0.05	5.44
299	-0.05	5.44
300	-0.05	5.44
301	0.0	5.44
302	0.0	-2.11
303	0.0	-2.11
304	0.0	-2.69
305	0.0	-2.69
306	0.06	-2.85
307	0.12	-2.85
308	0.12	-2.85
309	0.12	-2.85
310	0.12	-2.85
311	0.12	-2.69
312	0.12	-2.69
313	0.12	-2.69
314	0.12	-2.69
315	0.12	-2.69
316	0.12	-2.69
317	0.12	-2.69
318	0.06	-2.11
319	0.06	-1.97
320	0.06	-1.97
321	0.06	-2.11
322	0.06	-2.11
323	0.06	-2.25
324	0.0	-2.39
325	0.0	-2.39
326	-0.05	-2.39
327	-0.05	-2.39
328	-0.05	-2.39
329	-0.05	-2.39
330	-0.05	-2.39
331	-0.05	-2.39
332	-0.05	-2.54
333	-0.05	-2.54
334	0.06	-2.54
335	0.12	-2.54
336	0.12	-2.54
337	0.17	-2.54
338	0.17	-2.54
339	0.34	0.1
340	0.62	0.49
341	0.88	0.49
342	2.12	0.49
343	2.7	0.49
344	2.7	0.49
345	-0.4	-3.17
346	-0.46	-3.17
347	-0.34	-3.17
348	0	0
349	0	0
350	0	0
351	0	0
352	0	0
353	0	0
354	0	0
355	0	0
356	0	0
357	0	0
358	0	0
359	0	0
360	0	0
361	0	0
362	0	0
363	0	0
364	21.16	15.93
365	1.15	15.93
366	0.67	-4.94
367	0.56	-4.94
368	0.56	-3.9
369	0.56	-3.9
370	0.56	-3.9
371	0.56	-3.9
372	0.56	-3.9
373	0.56	-3.9
374	0.56	-3.9
375	0.56	-3.9
376	0.56	-3.9
377	0.56	-3.9
378	0.56	-3.9
379	0.56	-3.33
380	0.56	-3.22
381	0.56	-3.22
382	0.56	-3.0
383	0.56	-3.0
384	0.56	-2.79
385	0.56	-2.69
386	0.56	-2.69
387	0.56	-2.69
388	0.56	-2.69
389	0.56	-2.69
390	0.56	-2.69
391	0.56	-2.69
392	0.56	-2.9
393	0.56	-2.9
394	0.56	-2.9
395	0.56	-2.9
396	0.56	-2.9
397	0.56	-3.11
398	0.56	-3.11
399	0.56	-3.22
400	0.56	-3.22
401	0.56	-3.33
402	0.56	-3.22
403	0.56	-3.22
404	0.56	-3.22
405	0.56	-3.22
406	0.56	-3.22
407	0.56	-3.22
408	0.56	-3.22
409	0.56	-3.22
410	0.56	-3.22
411	0.56	-3.11
412	0.56	-3.11
413	0.56	-3.11
414	0.56	-3.11
415	0.56	-2.9
416	0.56	-2.79
417	0.56	-2.69
418	0.56	-2.69
419	0.56	-2.69
420	0.56	-2.59
421	0.56	-2.49
422	0.56	-2.49
423	0.56	-2.49
424	0.56	-2.49
425	0.56	-2.2
426	0.56	-2.11
427	0.56	-2.11
428	0.56	-2.11
429	0.56	-2.11
430	0.56	-1.83
431	0.56	-1.83
432	0.56	-1.83
433	0.56	-1.83
434	0.56	-1.83
435	0.56	-1.92
436	0.56	-1.92
437	0.56	-2.01
438	0.56	-2.01
439	0.56	-2.01
440	0.56	-2.01
441	0.56	-2.11
442	0.56	-2.11
443	0.56	-2.11
444	0.56	-2.11
445	0.56	-2.11
446	0.56	-2.3
447	0.56	-2.3
448	0.56	-2.39
449	0.56	-2.39
450	0.56	-2.39
451	0.56	-2.39
452	0.56	-2.39
453	0.56	-2.39
454	0.56	-2.39
455	0.56	-2.39
456	0.56	-2.3
457	0.56	-2.3
458	0.56	-2.3
459	0.56	-2.3
460	0.56	-2.3
461	0.56	-2.3
462	0.56	-2.39
463	0.56	-2.39
464	0.56	-2.39
465	0.56	-2.49
466	0.56	-2.49
467	0.56	-2.49
468	0.56	-2.49
469	0.56	-2.49
470	0.56	-2.49
471	0.56	-2.49
472	0.56	-2.49
473	0.56	-2.49
474	0.56	-2.49
475	0.56	-2.49
476	0.56	-2.49
477	0.56	-2.49
478	0.56	-2.49
479	0.56	-2.59
480	0.56	-2.59
481	0.51	-2.59
482	0.4	-2.59
483	0.4	-3.9
484	0.4	-4.8
485	0	0
486	0	0
487	0	0
488	0	0
489	0	0
490	0	0
491	0	0
492	0	0
493	0	0
494	0	0
495	0	0
496	0	0
