Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	21.92	[0, 19.55, 21.22, 10.61, 7.27, 5.47, 4.38, 3.58, 1.22, 0.36, 0.18, 0.17, 0.15, 0.1, 0.1, 0.09, 0.08, 0.08, 0.07]	[0, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]	[0, 42.99, 46.67, 46.67, 47.98, 48.14, 48.2, 47.19, 18.8, 6.31, 3.65, 3.65, 3.65, 2.73, 2.73, 2.73, 2.73, 2.73, 2.73]	25.45
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	19.55	-5.67
6	21.22	25.45
7	21.22	25.45
8	21.82	24.74
9	21.89	24.74
10	21.92	24.5
11	21.46	24.5
12	8.55	6.41
13	2.87	-0.24
14	1.66	6.7
15	1.66	6.7
16	1.66	6.7
17	1.24	6.7
18	1.24	6.7
19	1.24	6.7
20	1.24	6.7
21	1.24	6.7
22	1.24	6.7
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	2.58	1.01
31	21.64	1.01
32	21.98	1.01
33	22.1	21.88
34	22.1	21.88
35	22.17	21.71
36	22.17	21.52
37	22.17	21.52
38	5.77	-2.74
39	1.97	-2.74
40	1.02	-0.89
41	1.02	-4.62
42	1.02	-7.83
43	0.52	-7.83
44	1.29	-7.83
45	1.4	3.76
46	1.4	3.76
47	1.4	3.25
48	1.4	3.76
49	1.4	3.96
50	1.4	3.96
51	1.4	3.96
52	1.4	3.96
53	1.4	3.96
