Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	6.73	[0, 1.05, 1.05, 3.33, 2.24, 1.67, 1.34, 1.11, 0.95, 0.83, 0.06, 0.05, 0.05, 0.04, 0.04, 0.04, 0.03, 0.03, 0.03, 0.03, 0.03]	[0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]	[0, 2.31, 2.31, 14.62, 14.8, 14.71, 14.71, 14.71, 14.62, 14.62, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12]	7.03
2	7.34	[0, 6.25, 7.0, 3.65, 2.43, 1.83, 1.47, 1.22]	[0, 45, 46, 47, 48, 49, 50, 51]	[0, 13.74, 15.39, 16.05, 16.05, 16.14, 16.14, 16.05]	6.41
3	6.53	[0, 5.85, 6.29, 3.27, 2.18, 1.63, 1.31, 1.09, 0.35, 0.1, 0.07, 0.06, 0.05, 0.05, 0.04, 0.07]	[0, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]	[0, 12.86, 13.83, 14.36, 14.36, 14.36, 14.36, 14.36, 5.45, 1.85, 1.36, 1.25, 1.25, 1.25, 1.25, 2.2]	4.03
4	1.27	[0, 1.27, 1.27]	[0, 115, 116]	[0, 2.79, 2.79]	0
5	10.57	[0, 9.67, 9.67, 5.27, 3.51, 2.63, 2.1, 1.76, 1.51, 0.36, 0.32, 0.07, 0.05, 0.05, 0.04, 0.04, 0.04]	[0, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148]	[0, 21.27, 21.27, 23.18, 23.18, 23.18, 23.11, 23.18, 23.24, 6.42, 6.42, 1.61, 1.25, 1.25, 1.25, 1.25, 1.25]	11.39
6	9.26	[0, 8.91, 9.15, 4.63, 3.07, 2.31, 1.84, 1.54, 1.17, 0.18, 0.09, 0.05, 0.05, 0.04, 0.04]	[0, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171]	[0, 19.59, 20.12, 20.36, 20.28, 20.28, 20.28, 20.28, 17.94, 3.25, 1.85, 1.12, 1.12, 1.12, 1.12]	7.89
7	0.95	[0, 0.95, 0.95, 0.2, 0.11]	[0, 191, 192, 193, 194]	[0, 2.09, 2.09, 0.88, 0.75]	0
8	2.77	[0, 2.77]	[0, 216]	[0, 6.09]	1.25
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	1.05	0.0
5	1.05	0.0
6	6.65	6.85
7	6.73	6.85
8	6.69	7.03
9	6.69	7.03
10	6.69	7.03
11	6.65	7.03
12	6.65	7.03
13	0.51	0.64
14	0.51	0.64
15	0.51	0.64
16	0.51	1.16
17	0.51	1.39
18	0.51	1.39
19	0.51	1.39
20	0.51	1.39
21	0.51	0.64
22	0.51	0.91
23	0.51	0.91
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	6.25	4.31
46	7.0	4.97
47	7.3	4.6
48	7.3	4.6
49	7.34	4.6
50	7.34	5.93
51	7.3	6.41
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	5.85	2.64
66	6.29	3.27
67	6.53	4.03
68	6.53	3.85
69	6.53	3.85
70	6.53	3.85
71	6.53	3.85
72	2.48	3.85
73	0.84	3.85
74	0.62	3.85
75	0.57	3.85
76	0.57	3.85
77	0.57	3.85
78	0.57	3.85
79	1.0	3.85
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	1.27	-1.3
116	1.27	-1.3
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	0	0
128	0	0
129	0	0
130	0	0
131	0	0
132	0	0
133	9.67	0.27
134	9.67	10.52
135	10.54	10.99
136	10.54	10.99
137	10.54	10.99
138	10.51	11.39
139	10.54	11.39
140	10.57	11.39
141	2.92	11.39
142	2.92	11.39
143	0.73	0.52
144	0.57	0.75
145	0.57	0.75
146	0.57	0.97
147	0.57	0.97
148	0.57	0.97
149	0	0
150	0	0
151	0	0
152	0	0
153	0	0
154	0	0
155	0	0
156	0	0
157	0	0
158	8.91	0.83
159	9.15	0.83
160	9.26	0.83
161	9.22	7.89
162	9.22	7.89
163	9.22	7.76
164	9.22	7.76
165	8.16	7.76
166	1.48	7.76
167	0.84	7.76
168	0.51	7.76
169	0.51	7.76
170	0.51	2.55
171	0.51	2.55
172	0	0
173	0	0
174	0	0
175	0	0
176	0	0
177	0	0
178	0	0
179	0	0
180	0	0
181	0	0
182	0	0
183	0	0
184	0	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0.95	-1.48
192	0.95	-1.48
193	0.4	-1.48
194	0.34	-1.48
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	0	0
216	2.77	1.25
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	0	0
225	0	0
226	0	0
227	0	0
