Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0.0	2.31
11	22.37	2.31
12	22.75	2.31
13	22.85	38.61
14	22.85	38.61
15	22.85	38.13
16	22.85	38.15
17	22.77	38.15
18	2.19	38.15
19	0.92	38.15
20	0.92	38.15
21	0.92	16.01
22	0.92	16.01
23	0.92	15.87
24	0.92	15.87
25	0.85	15.87
26	0.85	15.87
27	0.85	15.87
28	0.85	15.87
29	0.85	15.78
30	0.92	15.73
31	0.85	15.78
32	0.85	15.78
33	0.85	15.78
34	0.85	15.87
35	0.85	15.87
36	0.85	15.87
37	0.85	15.87
38	0.85	15.92
39	0.85	15.92
40	0.85	15.92
41	0.85	15.92
42	0.85	15.92
43	0.85	15.87
44	0.85	15.83
45	0.85	15.83
46	0.92	15.83
47	0.92	15.83
48	0.92	15.83
49	0.92	15.83
50	0.92	15.83
51	0.92	15.97
52	0.92	15.97
53	0.92	15.92
54	0.92	15.92
55	0.92	15.87
56	0.92	15.87
57	0.92	15.78
58	0.92	15.78
59	0.92	15.78
60	0.92	15.73
61	0.92	15.73
62	0.92	15.73
63	0.92	15.87
64	0.92	15.87
65	0.92	15.92
66	0.92	15.92
67	0.92	15.92
68	0.92	15.92
69	0.92	15.87
70	0.92	15.87
71	0.92	15.87
72	0.92	15.87
73	0.92	15.87
74	0.92	15.83
75	0.92	15.83
76	0.92	15.83
77	0.92	15.83
78	0.92	15.78
79	0.92	15.78
80	0.92	15.78
81	0.92	15.78
82	0.92	15.78
83	0.92	15.73
84	0.92	15.73
85	0.92	15.73
86	0.92	15.73
87	0.92	15.73
88	0.92	15.68
89	0.92	15.68
90	0.92	15.68
91	0.92	15.49
92	0.92	15.4
93	0.92	15.25
94	0.92	15.25
95	0.92	15.06
96	0.92	15.06
97	0.92	15.06
98	0.92	15.06
99	0.92	15.06
100	0.92	15.15
101	0.92	15.15
102	0.92	15.15
103	0.92	15.2
104	0.92	15.2
105	0.92	15.15
106	0.92	15.11
107	0.92	15.11
108	0.92	15.11
109	0.92	15.01
110	0.92	15.01
111	0.92	15.01
112	0.92	15.01
113	0.92	15.01
114	0.92	14.91
115	0.92	14.91
116	0.92	14.91
117	0.92	14.86
118	0.92	14.86
119	0.92	14.86
120	0.92	14.86
121	0.92	14.86
122	0.92	14.86
123	0.92	14.76
124	0.92	14.76
125	0.92	14.76
126	0.92	14.76
127	0.85	14.76
128	0.85	14.76
129	0.85	14.81
130	0.85	14.81
131	0.85	15.2
132	0.85	15.2
133	0.85	15.2
134	0.85	15.2
135	0.85	15.2
136	0.85	15.2
137	0.85	15.2
138	0.85	15.2
139	0.85	16.56
140	0.85	16.56
141	0.85	16.79
142	0.85	16.83
143	0.85	16.96
144	0.85	17.14
145	0.85	17.31
146	0.85	17.44
147	0.85	17.53
148	0.85	17.53
149	0.85	17.57
150	0.85	17.53
151	0.85	17.53
152	0.85	17.53
153	0.85	17.44
154	0.85	17.44
155	0.85	17.57
156	0	0
157	0	0
158	0	0
159	0.85	18.37
