Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	18.48	[0, 0.0, 17.69, 18.24, 9.2, 6.15, 4.62, 3.69, 3.08, 2.64, 2.31, 2.05, 0.84]	[0, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]	[0, 0.0, 38.9, 40.11, 40.46, 40.6, 40.6, 40.6, 40.6, 40.64, 40.64, 40.64, 18.56]	20.13
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0.0	4.93
10	17.69	4.93
11	18.24	4.93
12	18.4	4.93
13	18.46	4.93
14	18.46	4.93
15	18.46	4.93
16	18.46	4.93
17	18.48	4.93
18	18.48	4.93
19	18.48	20.13
20	8.44	20.13
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	21.81	[0, 0.0, 20.87, 20.87, 10.82, 7.24, 5.45, 4.36, 3.33]	[0, 12, 13, 14, 15, 16, 17, 18, 19]	[0, 0.0, 45.9, 45.9, 47.59, 47.74, 47.92, 47.96, 43.94]	22.86
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0.0	0.0
13	20.87	22.15
14	20.87	21.63
15	21.64	21.63
16	21.71	21.63
17	21.79	21.63
18	21.81	22.86
19	19.98	22.86
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
