Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	22.07	[0, 20.25, 20.25, 10.96, 7.36, 5.51, 4.41, 3.65]	[0, 10, 11, 12, 13, 14, 15, 16]	[0, 44.53, 44.53, 48.23, 48.53, 48.49, 48.49, 48.23]	24.92
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	20.25	2.93
11	20.25	23.72
12	21.93	23.72
13	22.07	24.89
14	22.05	24.92
15	22.05	24.92
16	21.93	24.92
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
