Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	15.39	[0, 0.0, 14.69, 15.18, 7.65, 5.12, 3.83, 3.07, 2.56, 2.2]	[0, 13, 14, 15, 16, 17, 18, 19, 20, 21]	[0, 0.0, 32.3, 33.38, 33.65, 33.78, 33.71, 33.78, 33.84, 33.84]	17.31
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0.0	3.63
14	14.69	16.65
15	15.18	16.65
16	15.3	16.65
17	15.36	16.56
18	15.33	16.56
19	15.36	16.88
20	15.39	16.88
21	15.39	17.31
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
