Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	7.48	[0, 6.98, 7.35, 3.67, 2.49, 1.87, 1.5, 1.25]	[0, 19, 20, 21, 22, 23, 24, 25]	[0, 15.35, 16.16, 16.16, 16.45, 16.45, 16.45, 16.45]	8.04
2	8.71	[0, 2.14, 2.14, 1.07, 2.9, 2.18, 1.74, 1.45, 1.24, 1.09]	[0, 42, 43, 44, 45, 46, 47, 48, 49, 50]	[0, 4.71, 4.71, 4.71, 19.15, 19.15, 19.15, 19.15, 19.15, 19.15]	8.54
3	9.25	[0, 8.52, 8.52, 4.62, 3.08, 2.31, 1.85, 1.54]	[0, 74, 75, 76, 77, 78, 79, 80]	[0, 18.74, 18.74, 20.34, 20.34, 20.34, 20.34, 20.34]	8.7
4	11.31	[0, 0.4, 11.06, 5.66, 3.77, 2.83, 2.25, 1.88, 1.61, 0.82]	[0, 104, 105, 106, 107, 108, 109, 110, 111, 112]	[0, 0.88, 24.32, 24.87, 24.87, 24.87, 24.78, 24.78, 24.78, 14.4]	12.08
5	11.78	[0, 10.61, 11.48, 5.8, 3.92, 2.94, 2.36, 1.96, 1.68, 1.36]	[0, 128, 129, 130, 131, 132, 133, 134, 135, 136]	[0, 23.33, 25.25, 25.53, 25.84, 25.91, 25.91, 25.91, 25.91, 24.01]	12.08
6	9.92	[0, 8.79, 9.7, 4.96, 3.31, 2.48, 1.98, 1.65]	[0, 153, 154, 155, 156, 157, 158, 159]	[0, 19.33, 21.33, 21.82, 21.82, 21.82, 21.82, 21.82]	12.08
7	13.67	[0, -0.4, 13.2, 6.6, 4.4, 3.42, 2.73, 2.27, 1.94, 1.6]	[0, 176, 177, 178, 179, 180, 181, 182, 183, 184]	[0, -0.88, 29.03, 29.03, 29.03, 30.06, 30.0, 29.93, 29.86, 28.24]	12.32
8	13.98	[0, 13.45, 13.92, 6.99, 4.66, 3.49, 2.8, 2.33, 1.97]	[0, 200, 201, 202, 203, 204, 205, 206, 207]	[0, 29.58, 30.61, 30.74, 30.74, 30.68, 30.74, 30.74, 30.35]	16.47
9	13.58	[0, 13.1, 13.48, 6.78, 4.52, 3.39, 2.72, 2.26, 1.94, 1.69]	[0, 225, 226, 227, 228, 229, 230, 231, 232, 233]	[0, 28.81, 29.64, 29.8, 29.8, 29.8, 29.86, 29.8, 29.8, 29.8]	20.28
10	16.59	[0, 15.49, 16.04, 8.02, 5.5, 4.15, 3.31, 2.77, 2.37, 2.07]	[0, 254, 255, 256, 257, 258, 259, 260, 261, 262]	[0, 34.06, 35.27, 35.27, 36.29, 36.48, 36.42, 36.48, 36.48, 36.42]	27.82
11	16.44	[0, 14.81, 15.87, 8.1, 5.4, 4.11, 3.28, 2.74, 2.35, 2.04]	[0, 277, 278, 279, 280, 281, 282, 283, 284, 285]	[0, 32.57, 34.9, 35.6, 35.6, 36.15, 36.11, 36.11, 36.11, 35.98]	34.55
12	17.28	[0, 6.02, 16.92, 8.59, 5.76, 4.32, 3.46, 2.88, 2.41, 2.12]	[0, 301, 302, 303, 304, 305, 306, 307, 308, 309]	[0, 13.24, 37.21, 37.76, 38.0, 38.0, 38.0, 38.0, 37.17, 37.27]	38.17
13	19.13	[0, 18.24, 18.87, 9.44, 6.38, 4.78, 3.83, 3.17, 2.68, 2.35]	[0, 330, 331, 332, 333, 334, 335, 336, 337, 338]	[0, 40.11, 41.5, 41.5, 42.07, 42.07, 42.07, 41.78, 41.32, 41.32]	45.96
14	18.13	[0, 17.42, 17.78, 8.89, 6.04, 4.53, 3.63, 3.02, 2.59, 2.27]	[0, 359, 360, 361, 362, 363, 364, 365, 366, 367]	[0, 38.31, 39.1, 39.1, 39.87, 39.87, 39.87, 39.87, 39.87, 39.87]	45.96
15	20.31	[0, 20.21, 19.75, 9.88, 6.75, 5.08, 3.98, 3.32, 2.85, 2.48]	[0, 387, 388, 389, 390, 391, 392, 393, 394, 395]	[0, 44.44, 43.43, 43.43, 44.55, 44.66, 43.76, 43.76, 43.83, 43.65]	45.96
16	22.54	[0, 0.2, 22.18, 11.19, 7.49, 5.63, 4.51, 3.71, 3.18, 2.76]	[0, 420, 421, 422, 423, 424, 425, 426, 427, 428]	[0, 0.44, 48.78, 49.19, 49.41, 49.57, 49.57, 48.89, 48.89, 48.58]	45.96
17	21.99	[0, 20.75, 21.71, 10.98, 7.33, 5.5, 4.36, 3.63, 3.11, 2.73]	[0, 451, 452, 453, 454, 455, 456, 457, 458, 459]	[0, 45.63, 47.74, 48.31, 48.36, 48.36, 47.94, 47.94, 47.94, 47.94]	46.17
18	22.89	[0, 22.11, 22.68, 11.42, 7.63, 5.72, 4.58, 3.81, 3.26, 2.79, 2.48]	[0, 544, 545, 546, 547, 548, 549, 550, 551, 552, 553]	[0, 48.62, 49.88, 50.23, 50.34, 50.34, 50.34, 50.34, 50.18, 49.04, 49.04]	46.17
19	21.95	[0, 0.4, 21.75, 10.95, 7.32, 5.49, 4.39, 3.66, 3.14, 2.74, 2.06]	[0, 592, 593, 594, 595, 596, 597, 598, 599, 600, 601]	[0, 0.88, 47.83, 48.16, 48.27, 48.27, 48.27, 48.27, 48.27, 48.27, 40.68]	46.17
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	6.98	0.92
20	7.35	0.92
21	7.35	7.68
22	7.48	7.68
23	7.48	8.04
24	7.48	8.04
25	7.48	8.04
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	2.14	0.92
43	2.14	0.92
44	2.14	0.92
45	8.71	0.92
46	8.71	8.54
47	8.71	8.54
48	8.71	8.54
49	8.71	8.54
50	8.71	8.37
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	8.52	2.93
75	8.52	2.93
76	9.25	8.7
77	9.25	8.7
78	9.25	8.7
79	9.25	8.62
80	9.25	8.62
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0.4	5.55
105	11.06	5.55
106	11.31	12.08
107	11.31	11.96
108	11.31	11.96
109	11.27	11.46
110	11.27	11.46
111	11.27	11.46
112	6.55	5.31
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	0	0
128	10.61	4.53
129	11.48	8.86
130	11.61	8.86
131	11.75	8.7
132	11.78	8.7
133	11.78	8.7
134	11.78	8.7
135	11.78	8.7
136	10.92	8.7
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	0	0
146	0	0
147	0	0
148	0	0
149	0	0
150	0	0
151	0	0
152	0	0
153	8.79	7.22
154	9.7	8.21
155	9.92	7.95
156	9.92	7.95
157	9.92	7.95
158	9.92	7.86
159	9.92	7.86
160	0	0
161	0	0
162	0	0
163	0	0
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	0	0
170	0	0
171	0	0
172	0	0
173	0	0
174	0	0
175	0	0
176	-0.4	12.32
177	13.2	12.32
178	13.2	11.89
179	13.2	11.96
180	13.67	11.89
181	13.64	11.96
182	13.61	11.96
183	13.58	11.89
184	12.84	11.89
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	13.45	16.01
201	13.92	16.38
202	13.98	16.43
203	13.98	16.43
204	13.95	16.43
205	13.98	16.47
206	13.98	16.47
207	13.8	16.47
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	0	0
225	13.1	17.66
226	13.48	19.87
227	13.55	19.87
228	13.55	19.87
229	13.55	19.48
230	13.58	19.6
231	13.55	19.6
232	13.55	20.28
233	13.55	20.28
234	0	0
235	0	0
236	0	0
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	15.49	27.82
255	16.04	27.82
256	16.04	26.21
257	16.5	26.21
258	16.59	26.21
259	16.56	26.21
260	16.59	26.21
261	16.59	27.06
262	16.56	27.06
263	0	0
264	0	0
265	0	0
266	0	0
267	0	0
268	0	0
269	0	0
270	0	0
271	0	0
272	0	0
273	0	0
274	0	0
275	0	0
276	0	0
277	14.81	34.55
278	15.87	31.02
279	16.19	30.99
280	16.19	30.99
281	16.44	31.17
282	16.42	31.34
283	16.42	31.76
284	16.42	31.14
285	16.36	31.91
286	0	0
287	0	0
288	0	0
289	0	0
290	0	0
291	0	0
292	0	0
293	0	0
294	0	0
295	0	0
296	0	0
297	0	0
298	0	0
299	0	0
300	0	0
301	6.02	38.17
302	16.92	38.17
303	17.17	35.69
304	17.28	35.63
305	17.28	35.63
306	17.28	35.63
307	17.28	35.83
308	16.9	35.83
309	16.95	35.83
310	0	0
311	0	0
312	0	0
313	0	0
314	0	0
315	0	0
316	0	0
317	0	0
318	0	0
319	0	0
320	0	0
321	0	0
322	0	0
323	0	0
324	0	0
325	0	0
326	0	0
327	0	0
328	0	0
329	0	0
330	18.24	45.96
331	18.87	40.92
332	18.87	40.92
333	19.13	42.45
334	19.13	42.03
335	19.13	42.26
336	19.0	42.26
337	18.79	42.41
338	18.79	44.29
339	0	0
340	0	0
341	0	0
342	0	0
343	0	0
344	0	0
345	0	0
346	0	0
347	0	0
348	0	0
349	0	0
350	0	0
351	0	0
352	0	0
353	0	0
354	0	0
355	0	0
356	0	0
357	0	0
358	0	0
359	17.42	41.06
360	17.78	41.06
361	17.78	41.9
362	18.13	41.9
363	18.13	41.69
364	18.13	41.48
365	18.13	41.48
