Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=0	Max Target Angle=3.5	Max. Angle Reached2
1	8.84	[0, 7.88, 8.6, 4.4, 2.95, 2.21, 1.77, 1.2, 0.12, 0.06, 0.05, 0.05, 0.04, 0.04, 0.04, 0.03, 0.03, 0.03, 0.02, 0.04]	[0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]	[0, 17.33, 18.91, 19.35, 19.44, 19.44, 19.44, 15.79, 1.87, 1.03, 1.03, 1.03, 1.03, 1.03, 1.17, 0.88, 0.88, 0.88, 0.88, 1.45]	12.32
2	9.03	[0, 7.68, 8.76, 4.5, 3.01, 2.26, 1.81, 1.37, 1.18, 0.11]	[0, 40, 41, 42, 43, 44, 45, 46, 47, 48]	[0, 16.89, 19.26, 19.77, 19.86, 19.86, 19.86, 18.12, 18.12, 2.0]	8.64
3	8.68	[0, 0.27, 8.4, 4.3, 2.89, 2.15, 1.72, 1.43, 0.31, 0.08, 0.07]	[0, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68]	[0, 0.59, 18.47, 18.91, 19.09, 18.91, 18.91, 18.91, 4.77, 1.45, 1.45]	7.02
4	10.55	[0, 4.3, 10.27, 5.22, 3.52, 2.64, 2.11, 1.49, 1.28, 0.12]	[0, 92, 93, 94, 95, 96, 97, 98, 99, 100]	[0, 9.46, 22.58, 22.98, 23.2, 23.2, 23.2, 19.68, 19.68, 2.16]	10.94
5	10.59	[0, 10.19, 10.45, 5.28, 3.52, 2.65, 2.1, 1.75, 0.37, 0.15, 0.12]	[0, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119]	[0, 22.41, 22.98, 23.2, 23.2, 23.29, 23.05, 23.05, 5.63, 2.68, 2.29]	10.2
6	10.08	[0, 9.71, 9.97, 5.04, 3.36, 2.52, 2.02, 1.68, 1.39, 0.14, 0.07, 0.08]	[0, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167]	[0, 21.35, 21.93, 22.17, 22.17, 22.17, 22.17, 22.17, 21.35, 2.42, 1.32, 1.74]	1.31
7	11.12	[0, 0.34, 10.81, 5.53, 3.68, 2.77, 2.22, 1.84, 1.57, 0.14, 0.23]	[0, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198]	[0, 0.75, 23.77, 24.3, 24.3, 24.39, 24.45, 24.23, 24.23, 2.55, 4.53]	7.47
8	1.1	[0, 1.1, 1.1, 0.55, 0.37]	[0, 202, 203, 204, 205]	[0, 2.42, 2.42, 2.42, 2.42]	5.48
9	12.65	[0, 12.29, 12.59, 6.31, 4.21, 3.15, 2.53, 2.1, 1.8, 0.53, 0.07, 0.06]	[0, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228]	[0, 27.03, 27.69, 27.75, 27.75, 27.75, 27.82, 27.75, 27.75, 9.24, 1.45, 1.32]	11.21
10	13.53	[0, 0.14, 13.14, 6.76, 4.49, 3.38, 2.71, 2.25, 0.33, 0.11, 0.09]	[0, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251]	[0, 0.31, 28.9, 29.75, 29.6, 29.75, 29.75, 29.75, 5.15, 1.87, 1.87]	10.31
11	13.27	[0, 1.94, 13.11, 6.55, 4.42, 3.21, 2.58, 2.12, 1.82, 0.14, -0.03, -0.03, -0.02]	[0, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273]	[0, 4.27, 28.83, 28.83, 29.18, 28.26, 28.32, 27.97, 28.04, 2.42, -0.59, -0.59, -0.44]	11.56
12	15.75	[0, 15.6, 15.75, 7.88, 5.25, 3.89, 3.11, 2.5, 0.18, 0.11, 0.09]	[0, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292]	[0, 34.31, 34.64, 34.64, 34.64, 34.24, 34.24, 32.94, 2.81, 1.87, 1.87]	16.88
13	16.16	[0, 0.6, 15.96, 8.08, 5.39, 3.98, 3.16, 2.64, 0.29, 0.11, 0.09, 0.07]	[0, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311]	[0, 1.32, 35.1, 35.54, 35.54, 35.03, 34.7, 34.83, 4.4, 2.0, 1.74, 1.58]	13.38
14	16.1	[0, 15.72, 16.1, 7.89, 5.22, 3.92, 3.09, 2.58, 2.21, 0.21, 0.07, 0.04, 0.04]	[0, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337]	[0, 34.57, 35.41, 34.7, 34.44, 34.44, 34.0, 34.0, 34.06, 3.63, 1.45, 0.88, 0.88]	14.03
15	18.54	[0, 0.91, 18.38, 9.23, 6.17, 4.63, 3.71, 3.09, 0.36, 0.14, 0.1, 0.08]	[0, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360]	[0, 2.0, 40.42, 40.6, 40.73, 40.73, 40.77, 40.77, 5.52, 2.42, 2.0, 1.87]	64.59
16	17.95	[0, 17.32, 17.76, 8.92, 5.97, 4.49, 3.59, 2.99, 2.56, 1.75, 1.56, 1.4, 0.07]	[0, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390]	[0, 38.09, 39.06, 39.23, 39.36, 39.47, 39.47, 39.47, 39.47, 30.85, 30.85, 30.85, 1.74]	8.43
17	18.91	[0, 16.27, 18.73, 9.45, 6.28, 4.73, 3.78, 3.12, 2.68, 2.29, 0.18, 0.11, 0.09, 0.08]	[0, 410, 411, 412, 413, 414, 415, 416, 417, 418, 419, 420, 421, 422]	[0, 35.78, 41.19, 41.54, 41.41, 41.59, 41.59, 41.12, 41.19, 40.35, 3.5, 2.42, 2.16, 2.16]	10.71
18	19.33	[0, 19.33, 19.02, 9.59, 6.27, 4.7, 3.74, 3.12, 2.47, 0.18, 0.1, 0.07]	[0, 438, 439, 440, 441, 442, 443, 444, 445, 446, 447, 448]	[0, 42.51, 41.83, 42.18, 41.37, 41.37, 41.12, 41.12, 38.09, 3.23, 2.0, 1.58]	3.8
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	7.88	10.88
5	8.6	10.88
6	8.8	11.96
7	8.84	11.89
8	8.84	11.89
9	8.84	12.32
10	7.18	12.32
11	0.85	12.32
12	0.47	1.83
13	0.47	2.08
14	0.47	2.53
15	0.47	2.73
16	0.47	2.31
17	0.53	2.31
18	0.4	1.83
19	0.4	1.83
20	0.4	1.83
21	0.4	2.31
22	0.66	8.21
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	7.68	-1.71
41	8.76	8.64
42	8.99	7.92
43	9.03	7.92
44	9.03	8.17
45	9.03	8.04
46	8.24	8.04
47	8.24	8.04
48	0.91	8.04
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0.27	5.84
60	8.4	5.84
61	8.6	5.84
62	8.68	6.27
63	8.6	6.48
64	8.6	6.48
65	8.6	7.02
66	2.17	7.02
67	0.66	7.02
68	0.66	3.05
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	4.3	0.57
93	10.27	10.51
94	10.45	10.51
95	10.55	10.94
96	10.55	10.94
97	10.55	10.57
98	8.95	10.57
99	8.95	-0.34
100	0.98	2.53
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	10.19	0.3
111	10.45	9.95
112	10.55	10.2
113	10.55	10.2
114	10.59	10.14
115	10.48	10.14
116	10.48	10.14
117	2.56	10.14
118	1.22	7.84
119	1.04	7.84
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	0	0
128	0	0
129	0	0
130	0	0
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	0	0
146	0	0
147	0	0
148	0	0
149	0	0
150	0	0
151	0	0
152	0	0
153	0	0
154	0	0
155	0	0
156	0	0
157	9.71	0.45
158	9.97	0.45
159	10.08	1.31
160	10.08	0.96
161	10.08	0.96
162	10.08	0.96
163	10.08	0.45
164	9.71	-0.89
165	1.1	-0.89
166	0.6	-0.89
167	0.79	-0.89
168	0	0
169	0	0
170	0	0
171	0	0
172	0	0
173	0	0
174	0	0
175	0	0
176	0	0
177	0	0
178	0	0
179	0	0
180	0	0
181	0	0
182	0	0
183	0	0
184	0	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0.34	2.31
190	10.81	7.47
191	11.05	7.25
192	11.05	7.25
193	11.09	7.32
194	11.12	7.32
195	11.02	7.32
196	11.02	1.22
197	1.16	5.33
198	2.06	5.33
199	0	0
200	0	0
201	0	0
202	1.1	4.64
203	1.1	5.03
204	1.1	5.48
205	1.1	5.48
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	0	0
216	0	0
217	0	0
218	12.29	-0.25
219	12.59	-0.25
220	12.62	-0.25
221	12.62	10.47
222	12.62	10.47
223	12.65	10.47
224	12.62	11.21
225	12.62	11.21
226	4.2	-1.16
227	0.66	-1.16
228	0.6	-1.16
229	0	0
230	0	0
231	0	0
232	0	0
233	0	0
234	0	0
235	0	0
236	0	0
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0.14	6.64
243	13.14	10.25
244	13.53	10.02
245	13.46	10.08
246	13.53	10.25
247	13.53	10.31
248	13.53	10.31
249	2.34	10.31
250	0.85	-0.97
251	0.85	-0.97
252	0	0
253	0	0
254	0	0
255	0	0
256	0	0
257	0	0
258	0	0
259	0	0
260	0	0
261	0	0
262	1.94	0.27
263	13.11	11.45
264	13.11	11.45
265	13.27	11.56
266	12.85	10.99
267	12.88	10.93
268	12.72	11.45
269	12.75	11.45
270	1.1	-1.04
271	-0.27	-1.04
272	-0.27	-1.04
273	-0.2	7.06
274	0	0
275	0	0
276	0	0
277	0	0
278	0	0
279	0	0
280	0	0
281	0	0
282	0	0
283	15.6	1.56
284	15.75	16.2
285	15.75	16.11
286	15.75	16.88
287	15.57	16.65
288	15.57	16.74
289	14.98	16.74
290	1.28	8.78
291	0.85	8.78
292	0.85	5.43
293	0	0
294	0	0
295	0	0
296	0	0
297	0	0
298	0	0
299	0	0
300	0	0
301	0.6	2.46
302	15.96	13.38
303	16.16	13.19
304	16.16	13.19
305	15.93	13.19
306	15.78	13.19
307	15.84	13.33
308	2.0	13.33
309	0.91	3.16
310	0.79	2.94
311	0.72	2.94
312	0	0
313	0	0
314	0	0
315	0	0
316	0	0
317	0	0
318	0	0
319	0	0
320	0	0
321	0	0
322	0	0
323	0	0
324	0	0
325	0	0
326	15.72	14.03
327	16.1	14.03
328	15.78	14.03
329	15.66	13.39
330	15.66	13.39
331	15.46	13.39
332	15.46	13.58
333	15.49	13.58
334	1.65	-3.8
335	0.66	-3.8
336	0.4	-2.53
337	0.4	-2.53
338	0	0
339	0	0
340	0	0
341	0	0
342	0	0
343	0	0
344	0	0
345	0	0
346	0	0
347	0	0
348	0	0
349	0	0
350	0.91	15.21
351	18.38	15.21
352	18.46	16.48
353	18.52	16.48
354	18.52	16.48
355	18.54	45.68
356	18.54	44.89
357	2.51	64.59
358	1.1	64.59
359	0.91	64.59
360	0.85	62.58
361	0	0
362	0	0
363	0	0
364	0	0
365	0	0
366	0	0
367	0	0
368	0	0
369	0	0
370	0	0
371	0	0
372	0	0
373	0	0
374	0	0
375	0	0
376	0	0
377	0	0
378	0	0
379	17.32	7.32
380	17.76	-10.81
381	17.84	-10.81
382	17.9	-11.52
383	17.95	-11.52
384	17.95	-11.52
385	17.95	-11.86
386	17.95	-11.86
