Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	13.95	[0, 9.45, 13.48, 6.89, 4.65, 3.49, 2.79, 2.32, 0.74]	[0, 9, 10, 11, 12, 13, 14, 15, 16]	[0, 20.78, 29.64, 30.33, 30.68, 30.68, 30.68, 30.68, 11.41]	7.5
2	10.69	[0, 4.83, 9.71, 4.86, 3.55, 2.67]	[0, 38, 39, 40, 41, 42]	[0, 10.62, 21.35, 21.35, 23.42, 23.51]	0
3	14.58	[0, 3.39, 13.23, 7.17, 4.86]	[0, 45, 46, 47, 48]	[0, 7.45, 29.09, 31.54, 32.06]	0
4	13.11	[0, 2.24, 11.87, 6.29, 4.32, 3.28, 0.6, 0.12, 0.04]	[0, 59, 60, 61, 62, 63, 64, 65, 66]	[0, 4.93, 26.1, 27.64, 28.52, 28.83, 6.6, 1.58, 0.68]	12.29
5	16.6	[0, 0.21, 16.6, 8.3, 5.52, 4.11, 3.19, 0.46, 0.14, 0.07, 0.06, 0.05]	[0, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]	[0, 0.46, 36.51, 36.51, 36.44, 36.11, 35.1, 6.11, 2.22, 1.14, 1.14, 1.14]	16.29
6	15.15	[0, 14.61, 14.82, 7.44, 4.97, 3.73, 3.01, 2.52, 2.16, 1.89, 0.07]	[0, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]	[0, 32.13, 32.59, 32.72, 32.79, 32.79, 33.14, 33.32, 33.32, 33.32, 1.47]	16.49
7	17.28	[0, 0.31, 16.85, 8.53, 5.72, 4.28, 3.43, 2.88, 2.47, 0.63, 0.56, 0.5, 0.07]	[0, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123]	[0, 0.68, 37.06, 37.49, 37.71, 37.67, 37.71, 37.93, 38.0, 11.06, 11.06, 11.06, 1.58]	19.42
8	17.72	[0, 10.78, 10.78, 5.39, 3.59, 4.43, 3.54, 2.95, 2.5, 2.19, 1.94, 0.16, 0.15, 0.05, 0.04, 0.04]	[0, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147]	[0, 23.71, 23.71, 23.71, 23.71, 38.97, 38.97, 38.97, 38.48, 38.48, 38.48, 3.61, 3.61, 1.25, 1.25, 1.14]	23.19
9	17.57	[0, 0.42, 17.15, 8.72, 5.86, 4.39, 3.49, 2.9, 0.45, 0.13, 0.07]	[0, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165]	[0, 0.92, 37.71, 38.37, 38.64, 38.59, 38.37, 38.31, 6.97, 2.33, 1.47]	19.73
10	18.93	[0, 17.2, 18.5, 9.43, 6.31, 4.68, 3.75, 3.12, 1.99, 0.22, 0.11, 0.1, 0.07, 0.07, 0.06, 0.06, 0.05, 0.05, 0.05, 0.05]	[0, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225]	[0, 37.82, 40.68, 41.45, 41.63, 41.15, 41.21, 41.21, 30.68, 3.91, 2.13, 2.13, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 1.8, 2.02]	17.28
11	20.02	[0, 18.64, 19.42, 9.71, 6.64, 4.98, 3.98, 3.32, 2.86, 2.5, 2.22, 0.65, 0.13, 0.08, 0.06, 0.06, 0.06]	[0, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271]	[0, 40.99, 42.71, 42.71, 43.78, 43.83, 43.78, 43.87, 43.98, 44.03, 44.03, 14.34, 3.19, 2.02, 1.8, 1.91, 1.91]	22.51
12	19.95	[0, 0.87, 19.65, 9.82, 6.55, 4.99, 3.99, 3.32, 2.85, 2.49, 2.21, 0.33, 0.1, 0.09, 0.04]	[0, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295]	[0, 1.91, 43.21, 43.21, 43.21, 43.87, 43.83, 43.83, 43.83, 43.83, 43.83, 7.17, 2.33, 2.33, 1.14]	12.92
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	9.45	7.5
10	13.48	7.5
11	13.79	4.22
12	13.95	4.22
13	13.95	4.22
14	13.95	3.24
15	13.95	3.48
16	5.19	3.48
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	4.83	-23.37
39	9.71	-23.37
40	9.71	-2.96
41	10.65	-2.72
42	10.69	-3.66
43	0	0
44	0	0
45	3.39	-1.0
46	13.23	-1.0
47	14.34	-0.79
48	14.58	-2.86
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	2.24	3.96
60	11.87	12.29
61	12.57	12.29
62	12.97	12.29
63	13.11	12.29
64	3.0	-0.64
65	0.72	-0.64
66	0.31	-0.64
67	0	0
68	0	0
69	0	0
70	0	0
71	0.21	16.29
72	16.6	16.29
73	16.6	16.29
74	16.57	16.29
75	16.42	16.29
76	15.96	16.29
77	2.78	-1.94
78	1.01	-1.94
79	0.52	-1.94
80	0.52	2.13
81	0.52	2.13
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	14.61	15.79
93	14.82	15.79
94	14.88	15.79
95	14.91	16.49
96	14.91	16.49
97	15.07	16.49
98	15.15	16.32
99	15.15	16.32
100	15.15	1.48
101	0.67	1.48
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0.31	6.22
113	16.85	6.22
114	17.05	6.22
115	17.15	19.42
116	17.13	18.94
117	17.15	19.19
118	17.25	19.03
119	17.28	19.03
120	5.03	3.23
121	5.03	3.23
122	5.03	3.23
123	0.72	3.23
124	0	0
125	0	0
126	0	0
127	0	0
128	0	0
129	0	0
130	0	0
131	0	0
132	0	0
133	10.78	8.52
134	10.78	8.52
135	10.78	8.52
136	10.78	21.55
137	17.72	21.55
138	17.72	21.55
139	17.72	21.55
140	17.5	21.55
141	17.5	23.19
142	17.5	18.75
143	1.64	18.75
144	1.64	9.0
145	0.57	11.03
146	0.57	11.03
147	0.52	11.03
148	0	0
149	0	0
150	0	0
151	0	0
152	0	0
153	0	0
154	0	0
155	0	0
156	0.42	9.47
157	17.15	18.2
158	17.45	19.73
159	17.57	19.59
160	17.55	19.51
161	17.45	19.51
162	17.42	19.51
163	3.17	19.51
164	1.06	19.51
165	0.67	6.89
166	0	0
167	0	0
168	0	0
169	0	0
170	0	0
171	0	0
172	0	0
173	0	0
174	0	0
175	0	0
176	0	0
177	0	0
178	0	0
179	0	0
180	0	0
181	0	0
182	0	0
183	0	0
184	0	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	17.2	7.18
208	18.5	15.83
209	18.85	15.83
210	18.93	15.83
211	18.71	15.83
212	18.74	15.83
213	18.74	17.28
214	13.95	10.43
215	1.78	10.43
216	0.97	10.43
217	0.97	7.04
218	0.82	7.55
219	0.82	7.55
220	0.82	12.02
221	0.82	12.02
222	0.82	13.14
223	0.82	13.14
224	0.82	12.14
225	0.92	12.14
226	0	0
227	0	0
228	0	0
229	0	0
230	0	0
231	0	0
232	0	0
233	0	0
234	0	0
235	0	0
236	0	0
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
256	18.64	9.96
257	19.42	9.96
258	19.42	9.96
259	19.91	22.04
260	19.93	22.04
261	19.91	22.51
262	19.95	22.36
263	20.0	22.36
264	20.02	22.36
265	20.02	22.36
266	6.52	7.98
