Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	7.15	[0, 1.66, 6.97, 3.54, 2.36, 1.77, 1.42, 1.19, 1.02, 0.89, 0.79, 0.14, 0.13, 0.12, 0.04, 0.04]	[0, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]	[0, 3.65, 15.33, 15.57, 15.57, 15.57, 15.66, 15.66, 15.66, 15.72, 15.72, 3.12, 3.12, 3.12, 1.14, 1.14]	8.15
2	6.53	[0, 0.0, 6.45, 6.53, 3.27, 2.18, 1.63, 1.31, 1.09, 0.93, 0.81, 0.46]	[0, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52]	[0, 0.0, 14.18, 14.36, 14.36, 14.36, 14.36, 14.36, 14.36, 14.36, 14.27, 9.06]	6.65
3	0.73	[0, 0.73, 0.62, 0.1, 0.07, 0.05, 0.04, 0.03, 0.03, 0.03, 0.02]	[0, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]	[0, 1.61, 1.36, 0.46, 0.46, 0.46, 0.46, 0.46, 0.46, 0.46, 0.46]	8.59
4	8.25	[0, 8.11, 8.18, 4.12, 2.75, 1.27, 0.13, 0.11, 0.13]	[0, 85, 86, 87, 88, 89, 90, 91, 92]	[0, 17.83, 17.99, 18.14, 18.14, 11.22, 1.47, 1.47, 1.94]	3.79
5	8.22	[0, 7.97, 8.11, 4.09, 2.73, 2.06, 1.64, 1.37, 1.17, 1.03, 0.91]	[0, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118]	[0, 17.53, 17.83, 17.99, 17.99, 18.08, 18.08, 18.08, 18.08, 18.08, 18.08]	3.67
6	7.33	[0, 5.65, 7.01, 3.65, 2.44, 1.83, 1.47, 1.22, 1.05, 0.92, 0.81, 0.73, 0.67, 0.61, 0.56]	[0, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144]	[0, 12.42, 15.42, 16.05, 16.12, 16.12, 16.12, 16.12, 16.12, 16.12, 16.12, 16.12, 16.12, 16.12, 16.12]	7.78
7	8.83	[0, 8.15, 8.15, 4.37, 2.94, 2.21, 0.08, 0.03, 0.03]	[0, 154, 155, 156, 157, 158, 159, 160, 161]	[0, 17.92, 17.92, 19.2, 19.42, 19.42, 0.92, 0.46, 0.46]	5.47
8	6.34	[0, 6.34, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297]	[0, 13.94, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	3.58
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	1.66	2.5
12	6.97	7.88
13	7.08	7.88
14	7.08	7.88
15	7.08	7.88
16	7.12	7.88
17	7.12	8.15
18	7.12	8.15
19	7.15	8.15
20	7.15	6.01
21	1.42	6.01
22	1.42	6.01
23	1.42	8.02
24	0.52	8.02
25	0.52	2.85
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0.0	6.65
43	6.45	5.9
44	6.53	5.9
45	6.53	5.58
46	6.53	5.5
47	6.53	5.5
48	6.53	5.17
49	6.53	5.17
50	6.53	5.17
51	6.49	5.17
52	4.12	1.94
53	0	0
54	0.73	0.9
55	0.62	0.9
56	0.21	6.55
57	0.21	6.55
58	0.21	6.48
59	0.21	8.59
60	0.21	8.59
61	0.21	8.59
62	0.21	8.59
63	0.21	8.59
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	8.11	3.79
86	8.18	3.79
87	8.25	3.79
88	8.25	3.79
89	5.1	0.5
90	0.67	0.5
91	0.67	0.5
92	0.88	0.5
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	7.97	3.67
110	8.11	3.34
111	8.18	3.34
112	8.18	3.34
113	8.22	3.2
114	8.22	3.2
115	8.22	3.2
116	8.22	3.2
117	8.22	3.2
118	8.22	3.2
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	0	0
128	0	0
129	0	0
130	0	0
131	5.65	5.48
132	7.01	7.38
133	7.3	7.38
134	7.33	7.38
135	7.33	7.38
136	7.33	7.38
137	7.33	7.31
138	7.33	7.31
139	7.33	7.38
140	7.33	7.38
141	7.33	7.38
142	7.33	7.65
143	7.33	7.78
144	7.33	4.82
145	0	0
146	0	0
147	0	0
148	0	0
149	0	0
150	0	0
151	0	0
152	0	0
153	0	0
154	8.15	-3.49
155	8.15	-3.49
156	8.73	-3.49
157	8.83	5.47
158	8.83	-4.47
159	0.42	-3.06
160	0.21	-1.92
161	0.21	-2.28
162	0	0
163	6.34	3.0
164	0.0	3.0
165	0.0	3.0
166	0.0	3.58
167	0.0	3.58
168	0.0	3.58
169	0.0	3.58
170	0.0	3.58
171	0.0	3.58
172	0.0	3.58
173	0.0	3.58
174	0.0	3.58
175	0.0	3.58
176	0.0	3.58
177	0.0	3.58
178	0.0	3.58
179	0.0	3.58
180	0.0	3.58
181	0.0	3.58
182	0.0	3.58
183	0.0	3.58
184	0.0	3.58
185	0.0	3.58
186	0.0	3.58
187	0.0	3.58
188	0.0	3.58
189	0.0	3.58
190	0.0	3.58
191	0.0	3.58
192	0.0	3.58
193	0.0	3.58
194	0.0	3.58
195	0.0	3.58
196	0.0	3.58
197	0.0	3.58
198	0.0	3.58
199	0.0	3.58
200	0.0	3.58
201	0.0	3.58
202	0.0	3.58
203	0.0	3.58
204	0.0	3.47
205	0.0	3.47
206	0.0	3.47
207	0.0	3.47
208	0.0	3.47
209	0.0	3.47
210	0.0	3.47
211	0.0	3.47
212	0.0	3.47
213	0.0	3.47
214	0.0	3.47
215	0.0	3.47
216	0.0	3.47
217	0.0	3.47
218	0.0	3.47
219	0.0	3.47
220	0.0	3.47
221	0.0	3.47
222	0.0	3.47
223	0.0	3.47
224	0.0	3.47
225	0.0	3.47
226	0.0	3.47
227	0.0	3.47
228	0.0	3.47
229	0.0	3.47
230	0.0	3.47
231	0.0	3.47
232	0.0	3.47
233	0.0	3.47
234	0.0	3.47
235	0.0	3.47
236	0.0	3.47
237	0.0	3.47
238	0.0	3.47
239	0.0	3.47
240	0.0	3.47
241	0.0	3.47
242	0.0	3.47
243	0.0	3.47
244	0.0	3.47
245	0.0	3.47
246	0.0	3.47
247	0.0	3.47
248	0.0	3.47
249	0.0	3.47
250	0.0	3.47
251	0.0	3.47
252	0.0	3.47
253	0.0	3.47
254	0.0	3.47
255	0.0	3.47
256	0.0	3.47
257	0.0	3.47
258	0.0	3.47
259	0.0	3.47
260	0.0	3.47
261	0.0	3.47
262	0.0	3.47
263	0.0	3.47
264	0.0	3.47
265	0.0	3.47
266	0.0	3.47
267	0.0	3.47
268	0.0	3.47
269	0.0	3.47
270	0.0	3.47
271	0.0	3.58
272	0.0	3.58
273	0.0	3.58
274	0.0	3.58
275	0.0	3.58
276	0.0	3.58
277	0.0	3.58
278	0.0	3.58
279	0.0	3.58
280	0.0	3.58
281	0.0	3.58
282	0.0	3.58
283	0.0	3.58
284	0.0	3.58
285	0.0	3.58
286	0.0	3.58
287	0.0	3.58
288	0.0	3.58
289	0.0	3.58
290	0.0	3.58
291	0.0	3.58
292	0.0	3.58
293	0.0	3.58
294	0.0	3.58
295	0.0	3.58
296	0.0	3.58
297	0.0	3.58
298	0	0
299	0	0
300	0	0
301	0	0
302	0	0
303	0	0
304	0	0
305	0	0
306	0	0
307	0	0
308	0	0
309	0	0
