Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	11.95	[0, 9.29, 11.89, 5.62, 3.87, 2.9, 2.39, 1.98, 1.71, 0.49]	[0, 15, 16, 17, 18, 19, 20, 21, 22, 23]	[0, 20.43, 26.15, 24.74, 25.55, 25.55, 26.28, 26.15, 26.28, 8.69]	12.51
2	13.98	[0, 0.94, 0.94, 0.47, 4.6, 3.5, 2.8, 2.32, 1.99, 1.73, 1.53]	[0, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]	[0, 2.07, 2.07, 2.07, 30.37, 30.74, 30.74, 30.57, 30.57, 30.37, 30.37]	13.97
3	13.21	[0, 0.1, 12.87, 6.52, 4.4, 3.29, 2.64, 2.19, 1.88, 1.65]	[0, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73]	[0, 0.22, 28.3, 28.68, 29.05, 28.98, 28.98, 28.94, 28.98, 28.98, 7.43]	14.8
4	13.24	[0, 0.38, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.13, 0.02, 0.0, 0.26]	[0, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]	[0, 27.2, 28.3, 28.61, 28.54, 28.48, 28.68, 28.68, 29.12, 29.12, 28.94, 4.11, 0.57, 0.57]	14.2
5	16.4	[0, 8.55, 15.69, 7.84, 5.47, 4.1, 3.28, 2.72, 2.34, 2.04]	[0, 116, 117, 118, 119, 120, 121, 122, 123, 124]	[0, 18.8, 34.5, 34.5, 36.07, 36.07, 36.07, 35.89, 35.96, 35.96]	17.42
6	16.92	[0, 4.41, 16.53, 8.31, 5.64, 4.21, 3.37, 2.79, 2.39, 2.0, 0.19, 0.01, -0.02, -0.02, -0.02, -0.02, -0.01, -0.01, -0.01, -0.01, -0.01]	[0, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158]	[0, 9.7, 36.35, 36.57, 37.21, 37.08, 37.08, 36.86, 36.86, 35.1, 3.8, 0.22, -0.48, -0.48, -0.48, -0.48, -0.35, -0.35, -0.35, -0.35, -0.35]	19.48
7	16.94	[0, -0.78, -0.78, -0.39, 5.63, 4.24, 3.36, 2.8, 2.4, 2.1, 1.86, 1.68, 0.27, 0.24, 0.23, 0.21, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01]	[0, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203]	[0, -1.72, -1.72, -1.72, 37.14, 37.25, 36.97, 36.97, 36.92, 36.86, 36.86, 36.97, 6.47, 6.47, 6.47, 6.47, -0.48, -0.48, -0.48, -0.48, -0.48, -0.48, -0.48, -0.48, -0.48, -0.48, -0.48, -0.48, -0.48, -0.48, -0.73, -0.73, -0.73, -0.73, -0.97]	19.36
8	20.22	[0, -0.27, -0.27, 9.9, 6.61, 5.05, 4.04, 3.37, 2.88, 2.53, 1.92, 1.73, 1.57, 1.44, 0.04, 0.01, 0.04, 0.03]	[0, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236]	[0, -0.59, -0.59, 43.54, 43.63, 44.4, 44.4, 44.4, 44.4, 44.47, 37.98, 37.98, 37.98, 37.98, 1.03, 0.46, 1.17, 1.17]	20.17
9	20.12	[0, 6.73, 18.41, 9.79, 6.64, 5.02, 4.02, 3.35, 2.87, 2.51, 0.95, 0.19, 0.08, 0.05, 0.04, 0.04, 0.04, 0.03, 0.04, 0.04]	[0, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269]	[0, 14.8, 40.49, 43.06, 43.78, 44.16, 44.25, 44.25, 44.25, 44.2, 18.87, 4.22, 1.96, 1.28, 1.28, 1.28, 1.17, 0.92, 1.39, 1.39]	16.72
10	0.83	[0, 0.83, 0.32, 0.16, 0.11, 0.08, 0.06, 0.05, 0.05, 0.04, 0.04, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.21, 0.21, 0.1, 0.07, 0.07, 0.05, 0.04, 0.04, 0.03, 0.03, 0.04, 0.03, 0.03, 0.03]	[0, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337]	[0, 1.83, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.57, 0.57, 0.57, 0.46, 0.46, 0.46, 0.46, 0.46, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.81, 0.81, 0.81, 0.81]	6.92
11	20.47	[0, 0.37, 20.47, 10.23, 6.82, 5.12, 4.06, 3.39, 2.62]	[0, 348, 349, 350, 351, 352, 353, 354, 355]	[0, 0.81, 45.02, 45.02, 45.02, 45.02, 44.66, 44.71, 40.38]	14.19
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	9.29	10.26
16	11.89	12.51
17	11.25	12.51
18	11.62	12.51
19	11.62	12.51
20	11.95	12.51
21	11.89	12.51
22	11.95	12.51
23	3.95	12.51
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0.94	-1.33
37	0.94	12.69
38	0.94	12.69
39	13.81	12.69
40	13.98	13.97
41	13.98	13.97
42	13.9	13.93
43	13.9	13.93
44	13.81	13.69
45	13.81	13.93
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0.1	3.41
65	12.87	14.57
66	13.04	14.57
67	13.21	14.57
68	13.18	14.8
69	13.18	14.21
70	13.16	13.69
71	13.18	13.69
72	13.18	13.69
73	3.38	13.69
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	12.37	1.61
90	12.87	14.2
91	13.01	14.2
92	12.98	14.2
93	12.95	14.2
94	13.04	14.04
95	13.04	14.04
96	13.24	14.04
97	13.24	14.04
98	13.16	13.92
99	1.87	-0.54
100	0.26	-0.54
101	0.26	-0.54
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	8.55	2.52
117	15.69	2.52
118	15.69	2.52
119	16.4	17.42
120	16.4	17.18
121	16.4	17.18
122	16.32	17.18
123	16.35	17.04
124	16.35	17.0
125	0	0
126	0	0
127	0	0
128	0	0
129	0	0
130	0	0
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	4.41	4.51
140	16.53	4.51
141	16.63	19.48
142	16.92	19.48
143	16.86	18.71
144	16.86	18.71
145	16.76	18.71
146	16.76	18.71
147	15.96	18.71
148	1.73	-1.22
149	0.1	2.05
150	-0.22	2.05
151	-0.22	2.16
152	-0.22	2.16
153	-0.22	2.16
154	-0.16	2.99
155	-0.16	2.99
156	-0.16	2.99
157	-0.16	2.16
158	-0.16	2.16
159	0	0
160	0	0
161	0	0
162	0	0
163	0	0
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	0	0
170	-0.78	7.13
171	-0.78	19.36
172	-0.78	19.15
173	16.89	19.15
174	16.94	19.15
175	16.81	18.49
176	16.81	18.49
177	16.79	18.49
178	16.76	18.49
179	16.76	18.49
180	16.81	18.56
181	2.94	0.7
182	2.94	0.7
183	2.94	4.01
184	2.94	4.01
185	-0.22	4.01
186	-0.22	3.81
187	-0.22	3.91
188	-0.22	3.91
189	-0.22	4.29
190	-0.22	4.29
191	-0.22	4.29
192	-0.22	4.29
193	-0.22	4.29
194	-0.22	4.29
195	-0.22	4.48
196	-0.22	8.78
197	-0.22	8.78
198	-0.22	8.78
199	-0.33	8.78
200	-0.33	5.02
201	-0.33	6.77
202	-0.33	6.77
203	-0.44	6.4
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	-0.27	1.42
221	-0.27	1.42
222	19.8	17.19
223	19.84	18.82
224	20.19	18.82
225	20.19	18.82
226	20.19	19.9
227	20.19	20.17
228	20.22	20.1
229	17.27	20.1
230	17.27	8.92
231	17.27	10.63
232	17.27	10.63
233	0.47	10.63
234	0.21	10.63
235	0.53	12.99
236	0.53	12.99
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	6.73	7.65
252	18.41	16.23
253	19.58	16.23
254	19.91	16.23
255	20.08	16.72
256	20.12	16.72
257	20.12	16.72
258	20.12	16.72
259	20.1	16.72
260	8.58	16.72
261	1.92	16.72
262	0.89	16.72
263	0.58	16.72
264	0.58	16.72
265	0.58	16.72
266	0.53	16.72
267	0.42	16.72
268	0.63	16.72
269	0.63	15.79
270	0.83	1.88
271	0.32	1.88
272	0.32	1.88
273	0.32	1.88
274	0.32	1.88
275	0.32	6.78
276	0.32	6.82
277	0.32	6.82
278	0.32	6.82
279	0.32	6.82
280	0.32	6.86
281	0.32	6.86
282	0.32	6.86
283	0.32	6.9
284	0.32	6.9
285	0.32	6.9
286	0.32	6.9
287	0.32	6.9
288	0.32	6.9
289	0.32	6.9
290	0.32	6.9
291	0.32	6.92
292	0.32	6.92
293	0.32	6.92
294	0.32	6.92
295	0.32	6.92
296	0.32	6.92
297	0.32	6.92
298	0.32	6.92
299	0.32	6.92
300	0.32	6.92
301	0.32	6.68
302	0.32	6.68
303	0.32	6.41
304	0.32	6.41
305	0.32	6.08
306	0.32	6.08
307	0.32	6.08
308	0.32	6.08
309	0.32	6.08
310	0.32	5.11
311	0.32	4.89
312	0.32	4.89
313	0.32	4.48
314	0.32	4.48
315	0.32	4.07
316	0.32	4.07
317	0.32	4.07
318	0.32	3.54
319	0.32	3.54
320	0.26	3.21
321	0.26	3.05
322	0.26	2.89
323	0.21	2.73
324	0.21	2.64
325	0.21	2.64
326	0.21	2.64
327	0.21	1.84
328	0.26	1.56
329	0.26	1.56
330	0.26	1.56
331	0.26	1.13
332	0.26	0.92
333	0.26	0.92
334	0.37	0.92
335	0.37	0.58
336	0.37	1.08
337	0.37	0.08
338	0	0
339	0	0
340	0	0
341	0	0
342	0	0
343	0	0
344	0	0
345	0	0
346	0	0
347	0	0
348	0.37	1.15
349	20.47	12.64
350	20.47	12.78
351	20.47	13.77
352	20.47	13.92
353	20.31	14.19
354	20.33	14.19
355	18.36	14.19
356	0	0
357	0	0
358	0	0
359	0	0
360	0	0
361	0	0
362	0	0
363	0	0
364	0	0
365	0	0
366	0	0
367	0	0
368	0	0
369	0	0
370	0	0
371	0	0
