Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	7.94	[0, 2.75, 7.44, 3.9, 2.65, 1.99, 1.59, 1.32, 1.13, 0.16, 0.09, 0.08, 0.06, 0.05, 0.05, 0.05, 0.04, 0.04]	[0, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]	[0, 6.05, 16.36, 17.15, 17.46, 17.46, 17.46, 17.46, 17.46, 2.77, 1.76, 1.76, 1.41, 1.41, 1.41, 1.41, 1.41, 1.41]	9.49
2	7.48	[0, 6.88, 7.29, 3.74, 2.49, 1.87, 1.5, 1.25, 1.07, 0.19, 0.17, 0.03, 0.03]	[0, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]	[0, 15.13, 16.03, 16.45, 16.45, 16.45, 16.45, 16.45, 16.45, 3.32, 3.32, 0.7, 0.7]	4.8
3	7.33	[0, 0.27, 7.22, 3.67, 2.44, 1.83, 1.47, 1.22, 1.02, 0.15, 0.13, 0.05]	[0, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70]	[0, 0.59, 15.88, 16.12, 16.12, 16.12, 16.12, 16.12, 15.72, 2.66, 2.66, 1.17]	5.68
4	9.19	[0, 8.02, 8.89, 4.58, 3.06, 2.3, 1.84, 1.53, 1.31, 0.13, 0.05, 0.03, 0.03, 0.03, 0.02]	[0, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95]	[0, 17.64, 19.55, 20.14, 20.21, 20.21, 20.21, 20.21, 20.21, 2.31, 0.95, 0.7, 0.7, 0.7, 0.7]	9.91
5	8.78	[0, 0.64, 8.51, 4.39, 2.93, 1.77, 0.45, 0.37, 0.32, 0.28, 0.01, 0.02, 0.02, 0.02]	[0, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122]	[0, 1.41, 18.71, 19.31, 19.31, 15.55, 4.93, 4.93, 4.93, 4.93, 0.24, 0.46, 0.46, 0.59]	6.69
6	24.02	[0, 24.02, 22.29, 10.23, 6.82, 0.4, 0.04, -0.03, -0.01, -0.09, -0.04, -0.04, -0.04, -0.03, -0.03, -0.03, 0.62, 0.67, 0.53, 0.25, 0.06, 0.0, -0.23, -0.23, -0.12, -0.08, -0.06, -0.05, -0.04, -0.03, -0.03, -0.03, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181]	[0, 52.82, 49.02, 44.99, 44.99, 3.54, 0.46, -0.37, -0.13, -1.61, -0.86, -0.86, -0.86, -0.86, -0.86, -0.86, 20.3, 23.46, 19.99, 10.01, 2.66, 0.11, -0.51, -0.51, -0.51, -0.51, -0.51, -0.51, -0.51, -0.51, -0.51, -0.51, -0.51, -0.51, -0.51, -0.51, -0.51, -0.51, -0.51, -0.51, -0.51, -0.51, -0.51, -0.51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	27.56
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	2.75	4.05
10	7.44	4.05
11	7.8	4.05
12	7.94	4.05
13	7.94	4.05
14	7.94	9.49
15	7.94	9.49
16	7.94	9.49
17	1.26	0.57
18	0.8	5.07
19	0.8	5.07
20	0.64	5.07
21	0.64	3.8
22	0.64	3.8
23	0.64	3.8
24	0.64	4.52
25	0.64	1.47
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	6.88	-1.24
35	7.29	4.8
36	7.48	4.65
37	7.48	4.65
38	7.48	4.65
39	7.48	4.65
40	7.48	4.65
41	7.48	4.65
42	1.51	4.65
43	1.51	4.65
44	0.32	4.65
45	0.32	1.24
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0.27	0.72
61	7.22	0.72
62	7.33	0.72
63	7.33	0.72
64	7.33	0.72
65	7.33	5.68
66	7.33	5.68
67	7.15	5.68
68	1.21	5.68
69	1.21	5.68
70	0.53	5.68
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	8.02	9.91
83	8.89	9.91
84	9.16	9.91
85	9.19	9.91
86	9.19	9.91
87	9.19	8.62
88	9.19	8.62
89	9.19	1.72
90	1.05	1.72
91	0.43	1.72
92	0.32	1.72
93	0.32	1.72
94	0.32	1.72
95	0.32	1.72
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0.64	0.92
111	8.51	0.92
112	8.78	0.92
113	8.78	0.92
114	7.07	6.69
115	2.24	6.69
116	2.24	6.69
117	2.24	0.8
118	2.24	6.49
119	0.11	6.49
120	0.21	6.49
121	0.21	6.49
122	0.27	6.49
123	0	0
124	0	0
125	0	0
126	0	0
127	24.02	27.56
128	22.29	24.68
129	20.46	21.4
130	20.46	21.4
131	1.61	21.4
132	0.21	21.4
133	-0.17	-6.54
134	-0.06	0.63
135	-0.73	0.63
136	-0.39	0.63
137	-0.39	5.37
138	-0.39	5.37
139	-0.39	5.37
140	-0.39	5.37
141	-0.39	5.37
142	9.23	9.5
143	10.67	9.5
144	9.09	9.5
145	4.55	9.5
146	1.21	-4.67
147	0.05	-4.83
148	-0.23	-4.83
149	-0.23	-7.7
150	-0.23	-7.7
151	-0.23	-7.7
152	-0.23	-7.7
153	-0.23	-7.7
154	-0.23	3.99
155	-0.23	13.56
156	-0.23	14.04
157	-0.23	14.04
158	-0.23	14.04
159	-0.23	14.71
160	-0.23	14.71
161	-0.23	14.71
162	-0.23	14.71
163	-0.23	14.71
164	-0.23	14.71
165	-0.23	14.71
166	-0.23	13.63
167	-0.23	13.46
168	-0.23	13.46
169	-0.23	13.46
170	0.0	13.46
171	0.0	13.46
172	0.0	13.46
173	0.0	11.93
174	0.0	11.93
175	0.0	11.93
176	0.0	11.93
177	0.0	8.17
178	0.0	8.12
179	0.0	8.12
180	0.0	6.09
181	0.0	6.09
182	0	0
183	0	0
184	0	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
