Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	8.42	[0, -0.55, 8.02, 4.17, 2.79, 2.1, 1.68, 1.4]	[0, 13, 14, 15, 16, 17, 18, 19]	[0, -1.21, 17.64, 18.34, 18.43, 18.43, 18.43, 18.52]	11.35
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	-0.55	0.0
14	8.02	11.35
15	8.34	10.53
16	8.38	10.53
17	8.38	10.53
18	8.38	11.08
19	8.42	11.08
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
