Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	13.33	[0, 5.29, 12.36, 6.47, 4.31, 3.23, 2.67, 2.22, 1.9, 1.66]	[0, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	[0, 11.63, 27.18, 28.46, 28.46, 28.46, 29.31, 29.25, 29.18, 29.18, 29.18]	13.56
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	5.29	2.93
10	12.36	2.93
11	12.94	12.95
12	12.94	13.06
13	12.94	13.06
14	13.33	13.06
15	13.3	13.06
16	13.27	13.56
17	13.27	13.56
18	13.27	6.64
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
