Repetition	Max. Angle Reached1	Avg. Velocity	Time	Distance	Default=1	Max Target Angle=3.5	Max. Angle Reached2
1	20.64	[0, 19.4, 20.31, 10.28, 6.88, 5.12, 4.1, 3.41, 2.93]	[0, 9, 10, 11, 12, 13, 14, 15, 16]	[0, 42.66, 44.66, 45.21, 45.39, 44.99, 45.06, 45.06, 45.06]	24.1
X(Time)	Y(Sensor 1 Angle)	Y(Sensor 2 Angle)
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	19.4	0.92
10	20.31	0.92
11	20.56	0.92
12	20.64	23.88
13	20.46	23.88
14	20.49	24.1
15	20.49	23.98
16	20.49	24.04
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
